cod_accidente,responsabilidad,descripcion_del_hecho - Final
AA    ,COMPROMETIDA,al salir de rotonda y retomar libertador con bastante transito cuando vh del tercero circulaba a mi izquierda frena de golpe para evitar colisionar con un vh circulaba delante suyo y al hacerlo se viene sobre mi carril y yo por mas freno no puedo evitar impactarlo con mi parte delantera izq en su parte trasera derecha cabe destacar tercero no presentaba lesiones ni manifestaba ningun dolor y no intervino ambulancia como habia un control policial a unos metros nos tomaron datos pero no firmamos nada y no se si labraron acta no hubo otros terceros involucrados ni lesionados datos del tercero theas maria constanza vw gol trend hol zurich
AA    ,COMPROMETIDA,venia circulando por salerno al estar ingresando a ruta avda illia una moto me embiste lateral izquierdo de mi auto motociclista pierde equilibrio y cae al paviemnto
AA    ,COMPROMETIDA,circulando por camino de cintura al girar a izquierda para ingresar a un mayorista soy embestido en mi parte delantera derecha por parte delantera izquierda de un b circulaba por misma en sentido opuesto sin lesiones ni desplazamientos
AA    ,COMPROMETIDA,asegurado circulando por beiro embiste con su parte delantera a un tercero en su parte trasera derecha se detuvo por trafico sin lesionados sin desplazamientos
AA    ,DISCUTIDA,venamos circulando por avenida cabildo ambos vehculos autos estan por delante mo comienzan a frenar en semaforo yo hago mismo de una manera muy normal y cuando me detengo completamente siento embestida de un gol blanco patente ipc desde atras sin desplazamiento
AA    ,COMPROMETIDA,me encontraba circulando por calle griveo cuando al llegar al pasaje zeballos de repente siento impacto del vh de un tercero en mi parte delantera derecha con su parte delantera no hubo otros terceros ni personas lesionadas involucradas datos del tercero ortiz pilar vw gol adp
AA    ,CONCURRENTE,circulaba por haureche con semaforo en rojo luego al arrancar para i ngresar a calle aramburu vh circulaba a par del lado izq me encierra y me embiste con su parte delantera derecha en mi parte lateral izq no hubo otros terceros involucrados ni lesionados datos del tercero fernandez alberto fox kvp mercantil
AA    ,CONCURRENTE,ruta y ruta asegurado circulaba por ruta cuando esta cruzando bocacalle tercero venia por ruta se cruza y asegurado por mas intenta frenar vehiculo patina y choca al tercero en lateral derecho con frente sin desp sin lesiones
AA    ,COMPROMETIDA,asegurada circulando colisiona al vehiculo precede en parte trasera conductora del mismo resulta con dolor de hombro y iba con un acompanante ambos gendarmes interviene policia y ambulancia asegurada con dolores cervicales tambien es trasladada
AA    ,COMPROMETIDA,vehiculo asegurado circulaba sobre au panamericana cuando colisiono con su parte delantera en parte trasera de un tercero siena se detuvo delante por transito a raiz de esto siena fue desplazado colisionando con otro tercero gol trend se encontraba detenido conductor del siena resulto lesionado en hombro a espera de ambulancia
AA    ,COMPROMETIDA,circulaba por av san martin estaba reduciendo velocidad por semaforo cuando impacto al vh del tercero en parte trasera
AA    ,COMPROMETIDA,asegurado circulando por calle q martin en cruce con calle caaguazu fue impactado en parte delantera de derecha a izquierda por lateral delantero izquierdo circulaba por ultima mencionada a causa del impacto aseg y su acompanante hijo sufren lesiones aseg dolores de cuello y espalda y su hijo golpea cabeza con parabrisas tercero acompanante sufre golpe sin desplazamientos
AA    ,COMPROMETIDA,av gral paz y au richieri asegurado circulaba por av general paz cuando tercero circulaba delante frena de glope asegurado no puede evitar chocarlo en parte trasera sin desp por choque resulto con lesiones tercero
AA    ,COMPROMETIDA,vh aseg detenido dentro de estacionamiento este se desplaza sin freno de mano levemente e impacta con su parte trasera parte trasera de un ro remis detenido alli pasajero del remis en ese momento se estaba bajando y a causa de esto se golpeo rodilla asegurado traslado al centro de salud aillia sobre nahuel huapi martin coronado no presento lesiones graves tel asegurado
AA    ,COMPROMETIDA,circulaba sobre juana manzo casi llegando a esquina encarnacin ezcurra frena de golpe focus y choco por detras sin despz acompanante del tercero con lesiones
AA    ,COMPROMETIDA,me encontraba detenido en calle ituzaingo interseccion avpte illia de localidad de san martines alli soy embestido en parte trasera de mi vh por una camioneta circulaba por detras de mi ubicaciona causa del impacto mi vh se desplaza hacia adelante embistiendo a un b tercero se encontraba delante mio btercero chevrolet astra domino hrr conducido por negron farina dni sguro segurcoop a causa del impacto sufr lesiones cervicales por lopor cual me realice estudios medicos pertinentes no hubo mas terceros involucrados ni otros lesionados sin intervencion policial ni de ambulancia datos del tercero sotelo sanabria ford ebl liderar
AA    ,CONCURRENTE,bajando por calle del puente pueyrredon doblando a av belgrano soy embestido por un eroque realizaba misma maniobra pero se distrae y me colsiona en mi lateral trasero izquierdo con parte delantera derecha a consencuencia del impacto mi novia sufre lesiones en cuello sin desplazamientos dejo asentado me amenazaron tel
AA    ,COMPROMETIDA,vh asegurado circulando por av corrientes pese a accionar frenos colisiona su parte delantera con parte trasera de un tercero taxi se detuvo delante cual posteriormente se desplaza y embiste con su frente a parte trasera de otro vhc camioneta sin datos tambien detenido hija del asegurado se quebro humero conductor del taxi con dolor cervical y de pie pasajera de taxi acusaba dolor de panza interv policia y ambulancia fueron trasladados a hospital durand conductor taxi e hija del asegurado pasajera se retira por sus propios medios a centro medico de obra social propia
AA    ,CONCURRENTE,asegurado circulando por calle echeverria esq pichincha impacta aun tercero moto ocupante sin casco circulab apor misma e l aseg impacta con l aparte delantera en parte lateral del tercero sin desplazamientos
AA    ,DISCUTIDA,circulando av tomas espora cuando un ero salia del estacionamiento del mc donalds gira en u hacia izquierda y me colisiona en mi parte lateral derecha con su parte delantera izquierda a causa del impacto presento golpes al igual tercero sin desplazamientos intervino polcia y ambulancia ambas conductoras fueron llevadas a clinica espora tel
AA    ,CONCURRENTE,asegurado circulando por pasteur tercero circulando por illia impacta con lateral izquierdo en lateral delantero derecho conductor del vhl del tercero con raspon en antebrazo y dolor de cabeza se fue a hacer atender a htal de san justo sin desplazamientos intervino policia no ambulancia
AA    ,COMPROMETIDA,asegurado circulando por america al llegar a interseccion con arieta se produce colision con un tercero circulaba por esta ultima con parte lateral izquierda a parte delantera del otro vehiculo sin lesiones sin desplazamientos al momento de volver a iniciar su marcha y dejar vehiculo en cambio vehiculo asegurado se desplaza impactando nuevamente al tercero
AA    ,COMPROMETIDA,asegurado en calle pardo no alcanza a frenar y colisiona con parte delantera parte trasera de un tercero pasaba loma de burro sin lesiones ni desplazamientos
AA    ,CONCURRENTE,circulando por castelli y en interseccion con san martin cuando un ero circulaba por ultima mencionada cruza castelli con semaforo en rojo colisionando en mi lateral delantero derecho con su parte delantera izquierda intervino ambulancia y bomberos asisten a un bebe desconosco si transladaron a un centro asistencial trasladamos a mis hijas a clinica para control por prevencintel
AA    ,COMPROMETIDA,hecho vehiculo asegurado circulaba por independencia y al cruzar interseccion se produce colision del lateral delantero derecho del asegurado y frente izquierdo del tercero circulaba por saavedra sin desplazamientos a terceros acompanante del tercero se golpea cabeza no interviene policia ni ambulancia
