;Idenx original;tipo_de_accidente;responsabilidad;descripcion_del_hecho - Final
0;7;auto - auto;comprometida;circulaba libertador parte delantera parte trasera tercero detiene delante raiz ocupante vehiculo manifestaba sentir dolor cervical 
1;8;auto - auto;concurrente;lugar ocurrencia paseo circulando paseo llego cruce colisionada auto venia ultima danando parte delantera izquierda sobrina acompanante ero resultan dolores intervencion
2;11;auto - auto;comprometida;denuncia tercerome encontraba detenido libertador esperando cambio semaforo embestido tercero parte trasera ocasionando danos detallados
3;32;auto - auto;comprometida;congestionada frenar vehculo venia delante mio puede frenar tiempo embest
4;48;auto - auto;comprometida;aseg circulando panamericana queda medio stro cadena subre corte varias costillas fracturadas femininos posibles lesionadas ampliacin aseguradome informa recuerda siniestro perdio conocimiento sufrio golpes fracturas costillas retiraron ultimo recuerda circulando panamericana choque delante vehiculos antecedian frenaron abruptamente tambien cree auto venia detras choca llovia auto desplaza hacia adelante colisionando vehiculo antecedia encontraban femeninas nn denunciadas mas datos siniestro vehiculo antecesor colisiona atras femeninas denunciadas
5;57;auto - auto;comprometida;circulaba balbin intencin colisiono tercero parte trasera parte delantera dicho dicho tercero impacta do tercero parte trasera parte delantera do tercero vw suran patente petpaz claudia natalia dni federacion patronal poliza parte trasera terceros involucrados lesionados datos tercero pablo arturo gru ford focus pfk qbe seguros
6;58;auto - auto;comprometida;colectora panamericana casi thames cambio semaforo frenada intempestiva ampliamos asegurado relacion mecanica hecho manifesto circulaba colectora panamericana casi thames cree cambio semaforo rodado precedia freno intempestivamente pudo evitar impactar tercero parte trasera participo cruzaron datos lugar vio auto viajaban tomo datosd
7;62;auto - auto;comprometida;aseg circulaba cabred curva esquivar desplaza cayendo dentro zanja vehiculo dano parte delantera lateral izquierdo opticas capot etc acompanante amiga sufre golpes raiz atendida clinica guemes lujan mas desplazamientos
8;71;auto - auto;concurrente;circulando david magdalena lllegar interseccion belgrano produce colision parte delantera parte trasera derecha camioneta circulaba belgrano raiz camioneta desplaza embiste estacionadosin lesiones
9;83;auto - auto;comprometida;circulaba consejal jose dans rey doblo derqui tercero freno embisto parte trasera parte delantera tercero lesionados intervencion policial medica
10;91;auto - auto;comprometida;asegurado circulando zabala colisiona parte frontal parte tercero frena golpe personas tercero retira propios medios
11;97;auto - auto;comprometida;asegurado circulando s frontera colisiono parte delantera trasera tercero detuvo semaforo lesiones desplazamientos aseg amplia acompanante tercero tocaba
12;109;auto - auto;comprometida;mecanica hecho s vs asegurado circulando corrientes doblo izquierda continuar marcha lavalleun venia ultima asusta cambia carril invadiendo contraria habia doblado yocalle doble impacta parte delantera lateral izquierdoproducto aca pierde conocimiecontconocimientoes trasladado hospital zonal varelaen pueblojunto tercero acuso lesiones informaronal aca luego comisaria
13;110;auto - auto;comprometida;asegurado circulaba nicaragua colisiona parte delantera parte trasera tercero freno transito lesiones desplazamientos
14;124;auto - auto;comprometida;aseg maniobra salir lugar estacionado yrigoyen impacta tercero circulaba lateral delantera izquierdo lateral trasero derecho lesiones desplazamiento
15;127;auto - auto;comprometida;circulaba balbin parte delantera parte trasera tercero detiene trafico delante raiz tercero desplaza colisiona parte delantera parte trasera vehiculo datos lesiones
16;132;auto - auto;concurrente;aseg circulando alvarez jonte interseccion miguel salcedo tercero circulaba ultima mencionada atraviesa aseg logra evitar colision pb delantera lateral derecho tercero asegurado personas lesionadas transportadas 
17;139;auto - auto;comprometida;circulando menbrillar pasar derecha tercero chevrolet celta frena golpe puedo evitar colisionarlo tercero parte trasera derecha parte delantera izquierda desplazamiento
18;158;auto - auto;comprometida;aseg circulando mosconi colisiona parte delantera parte trasera tercero detuvo marcha misma tercero deslpaza colisiona misma desplaza colisiona desplaza colisiona lesionados
19;161;auto - auto;comprometida;vhl asegurado encontraba circulando ayacucho delante detiene tercero transito asegurado colisiona parte delantera parte trasera lesiones desplazamientos 
20;163;auto - auto;comprometida;aseg circulando avda mitre avellaneda bs as tercero circulaba misma igual delante asegurado frena semaforo ultimo embiste parte frontal parte trasera tercero lesiones intervenciones desplazamientos
21;171;auto - auto;comprometida;circulaba pueyrredon puedo evitar colisionar auto tenia delante parte delantera parte trasera izquierda desplazamientos lesionados
22;172;auto - auto;comprometida;circulando venia delante mio frena tambien hago llego hacerlo completo colisiono parte delantera parte trasera parte delantera parte trasera doro datos doro chev agile gris dominiojipno terceros involucrados lesionados datos tercero ibanez julio peug etw mercantil andina
