cod_accidente,descripcion,filter,responsabilidad
aa,circulaba por la avenida del libertador cuando impacto con la parte delantera en la parte trasera del tercero que se detiene  delante de mi a raiz del impacto un ocupante del otro vehiculo manifestaba sentir dolor cervical por lo que interviene personal policial y de ambulancia los cuales trasladan al mismo hasta el hospital de moreno sin lesiones,circulaba por la avenida del libertador impacto con la parte delantera en la parte trasera del tercero detiene delante mi raiz del impacto ocupante del otro vehiculo manifestaba sentir dolor cervical por lo interviene personal policial ambulancia los cuales trasladan al mismo hasta el hospital moreno sin lesiones,comprometida
aa,lugar de ocurrencia paseo  y av  circulando por paseo  cuando llego al cruce con av  soy colisionada por un auto que venia por esta ultima danando la parte delantera izquierda con el impacto mi sobrina y la acompanante en el vh del ero resultan con dolores sin intervencion de ambulancia ni de la policia ,lugar ocurrencia paseo avenida circulando por paseo llego al cruce con avenida soy colisionado por auto venia por esta ultima danando la parte delantera izquierda con el impacto mi sobrina la acompanante en el vehiculo del tercero resultan con dolores sin intencion ambulancia ni la policia,concurrente
aa,denuncia del tercerome encontraba detenido sobre la av del libertador esperando el cambio de semaforo de rojo a verde cuando soy embestido por el tercero en la parte trasera ocasionando los danos detallados,denuncia del tercero encontraba detenido la avenida del libertador esperando el cambio semaforo rojo verde soy embestido por el tercero en la parte trasera ocasionando los danos detallados,comprometida
aa,la avenida estaba congestionada y al frenar el vehculo que venia delante mio no puede frenar a tiempo y lo embest ,la avenida estaba congestionada al frenar el vehiculo venia delante mio no puede frenar tiempo lo embesti,comprometida
aa,aseg circulando panamericana queda en el medio de un stro en cadena subre un corte en la cabeza y varias costillas fracturadas  femininos posibles lesionadas ampliacin con aseguradome informa que el no recuerda mucho del siniestro porque perdio el conocimiento  sufrio golpes en la cabeza y  fracturas de costillas lo retiraron en ambulancia lo ultimo que recuerda es que estaba circulando por panamericana y hubo un choque delante de el por lo cual los vehiculos que lo antecedian frenaron abruptamente y el tambien cree que el auto que venia detras lo choca y como llovia su auto se desplaza hacia adelante colisionando el vehiculo que lo antecedia donde se encontraban las femeninas nn denunciadas no tiene mas datos del siniestro ni del vehiculo antecesor ni del que lo colisiona de atras ni de las femeninas denunciadas ,asegurado circulando panamericana queda en el medio siniestro en cadena subre corte en la cabeza varias costillas fracturadas femininos posibles lesionadas ampliacin con asegurado informa el no recuerda mucho del siniestro porque perdio el conocimiento sufrio golpes en la cabeza fracturas costillas lo retiraron en ambulancia lo ultima recuerda es estaba circulando por panamericana hubo choque delante el por lo cual los vehiculo lo antecedian frenaron abruptamente el tambien cree el auto venia detras lo choca como llovia su auto desplaza hacia delante colisionando el vehiculo lo antecedia donde encontraban las femeninas nn denunciadas no tiene mas datos del siniestro ni del vehiculo antecesor ni del lo colisiona atras ni las femeninas denunciadas,comprometida
aa,circulaba por balbin y sin intencin colisiono a un vh tercero en su parte trasera con mi parte delantera por dicho impacto dicho vh tercero impacta a un do tercero en su parte trasera con la parte delantera do tercero vw suran patente petpaz claudia natalia dni  federacion patronal poliza  parte trasera no hay otros terceros involucrados ni lesionados datos del tercero pablo arturo gru ford focus pfk  qbe seguros,circulaba por balbin sin intencion colisiona vehiculo tercero en su parte trasera con mi parte delantera por dicho impacto dicho vehiculo tercero impacta tercero en su parte trasera con la parte delantera tercero vehiculo suran patente petpaz claudia natalia dni federacion patronal poliza parte trasera no hay otros tercero involucrados ni lesionados datos del tercero pablo arturo gru ford focus pfk qbe seguros,comprometida
aa,colectora panamericana casi thames por cambio de semaforo frenada intempestiva ampliamos con el asegurado en relacion a la mecanica del hecho manifesto que circulaba  por colectora panamericana casi thames que cree por cambio de semaforo el rodado que le precedia freno intempestivamente el no pudo evitar impactar al tercero en la parte trasera no participo policia ni ambulancia cruzaron datos y se fueron del lugar vio que en el auto viajaban el conductor y una mujer de la cual no tomo datosd,colectora panamericana casi thames por cambio semaforo frenada intempestiva ampliamos con el asegurado en relacion la mecanica del hecho manifesto circulaba por colectora panamericana casi thames cree por cambio semaforo el rodado le precedia freno intempestivamente el no pudo evitar impactar al tercero en la parte trasera no participo policia ni ambulancia cruzaron datos fueron del lugar vio en el auto viajaban el conductor mujer la cual no tomo datosd,comprometida
aa,vh aseg circulaba sobre av cabred cuando sobre curva al esquivar un perro se desplaza cayendo dentro de un zanja el vehiculo tiene dano en su parte delantera lateral izquierdo opticas capot etc la acompanante amiga sufre golpes a raiz del impacto es atendida en clinica guemes de lujan sin mas desplazamientos,vehiculo asegurado circulaba avenida cabred curva al esquivar perro desplaza cayendo dentro zanja el vehiculo tiene dano en su parte delantera parte izquierda opticas capot etc la acompanante amiga sufre golpes raiz del impacto es atendida en clinica guemes lujan sin mas desplazamientos,comprometida
aa,circulando por david magdalena a lllegar a la interseccion con calle belgrano se produce la colision con mi parte delantera y la parte trasera derecha de una camioneta que circulaba por belgrano a raiz del impacto la camioneta se desplaza y embiste a  un vh estacionadosin lesiones,circulando por david magdalena lllegar la interseccion con calle belgrano produce la colision con mi parte delantera la parte trasera derecha camioneta circulaba por belgrano raiz del impacto la camioneta desplaza embiste vehiculo estacionadosin lesiones,concurrente
aa,circulaba por consejal jose dans rey doblo en derqui y no observo al tercero que freno y lo embisto en la parte trasera  con mi parte delantera en el vh tercero hubo lesionados sin intervencion policial ni medica,circulaba por consejal jose dans rey doblo en derqui no observo al tercero freno lo embisto en la parte trasera con mi parte delantera en el vehiculo tercero hubo lesionados sin intencion policial ni medica,comprometida
