cod_accidente;descripcion;filter;responsabilidad;narracion;resultado
aa    ;circulaba por la avenida del libertador cuando impacto con la parte delantera en la parte trasera del tercero que se detiene  delante de mi a raiz del impacto un ocupante del otro vehiculo manifestaba sentir dolor cervical por lo que interviene personal policial y de ambulancia los cuales trasladan al mismo hasta el hospital de moreno sin lesiones;circulaba avenida libertador impacto parte delantera parte trasera tercero detiene delante mi raiz impacto ocupante otro vehiculo manifestaba sentir dolor cervical interviene personal policial ambulancia los cuales trasladan mismo hasta hospital moreno sin lesiones;comprometida;primera persona;1
aa    ;lugar de ocurrencia paseo  y av  circulando por paseo  cuando llego al cruce con av  soy colisionada por un auto que venia por esta ultima danando la parte delantera izquierda con el impacto mi sobrina y la acompanante en el vh del ero resultan con dolores sin intervencion de ambulancia ni de la policia ;lugar ocurrencia paseo avenida circulando paseo llego cruce avenida soy colisionada auto venia esta ultima danando parte delantera izquierda impacto mi sobrina acompanante vehiculo tercero resultan dolores sin intencion ambulancia ni policia;concurrente;primera persona;1
aa    ;denuncia del tercerome encontraba detenido sobre la av del libertador esperando el cambio de semaforo de rojo a verde cuando soy embestido por el tercero en la parte trasera ocasionando los danos detallados;denuncia tercero encontraba detenido avenida libertador esperando cambio semaforo rojo verde soy embestido tercero parte trasera ocasionando los danos detallados;comprometida;primera persona;1
aa    ;la avenida estaba congestionada y al frenar el vehculo que venia delante mio no puede frenar a tiempo y lo embest ;avenida estaba congestionada frenar vehiculo venia delante mio no puede frenar tiempo embesti;comprometida;primera persona;1
aa    ;aseg circulando panamericana queda en el medio de un stro en cadena subre un corte en la cabeza y varias costillas fracturadas  femininos posibles lesionadas ampliacin con aseguradome informa que el no recuerda mucho del siniestro porque perdio el conocimiento  sufrio golpes en la cabeza y  fracturas de costillas lo retiraron en ambulancia lo ultimo que recuerda es que estaba circulando por panamericana y hubo un choque delante de el por lo cual los vehiculos que lo antecedian frenaron abruptamente y el tambien cree que el auto que venia detras lo choca y como llovia su auto se desplaza hacia adelante colisionando el vehiculo que lo antecedia donde se encontraban las femeninas nn denunciadas no tiene mas datos del siniestro ni del vehiculo antecesor ni del que lo colisiona de atras ni de las femeninas denunciadas ;asegurado circulando panamericana queda medio siniestro cadena subre corte cabeza varias costillas fracturadas femininos posibles lesionadas ampliacin asegurado informa no recuerda mucho siniestro porque perdio conocimiento sufrio golpes cabeza fracturas costillas retiraron ambulancia ultima recuerda es estaba circulando panamericana hubo choque delante cual los vehiculo antecedian frenaron abruptamente tambien cree auto venia detras choca como llovia su auto desplaza hacia delante colisionando vehiculo antecedia donde encontraban las femeninas nn denunciadas no tiene mas datos siniestro ni vehiculo antecesor ni colisiona atras ni las femeninas denunciadas;comprometida;tercera persona;1
aa    ;circulaba por balbin y sin intencin colisiono a un vh tercero en su parte trasera con mi parte delantera por dicho impacto dicho vh tercero impacta a un do tercero en su parte trasera con la parte delantera do tercero vw suran patente petpaz claudia natalia dni  federacion patronal poliza  parte trasera no hay otros terceros involucrados ni lesionados datos del tercero pablo arturo gru ford focus pfk  qbe seguros;circulaba balbin sin intencion colisiono vehiculo tercero su parte trasera mi parte delantera dicho impacto dicho vehiculo tercero impactado tercero su parte trasera parte delantera tercero vehiculo suran patente petpaz claudia natalia dni federacion patronal poliza parte trasera no hay otros tercero involucrados ni lesionados datos tercero pablo arturo gru ford focus pfk qbe seguros;comprometida;primera persona;1
aa    ;colectora panamericana casi thames por cambio de semaforo frenada intempestiva ampliamos con el asegurado en relacion a la mecanica del hecho manifesto que circulaba  por colectora panamericana casi thames que cree por cambio de semaforo el rodado que le precedia freno intempestivamente el no pudo evitar impactar al tercero en la parte trasera no participo policia ni ambulancia cruzaron datos y se fueron del lugar vio que en el auto viajaban el conductor y una mujer de la cual no tomo datosd;colectora panamericana casi thames cambio semaforo frenada intempestiva ampliamos asegurado relacion mecanica hecho manifesto circulaba colectora panamericana casi thames cree cambio semaforo rodado le precedia freno intempestivamente no pudo evitar impactado tercero parte trasera no participo policia ni ambulancia cruzaron datos fueron lugar vio auto viajaban conductor una mujer cual no tomo datosd;comprometida;tercera persona;1
aa    ;vh aseg circulaba sobre av cabred cuando sobre curva al esquivar un perro se desplaza cayendo dentro de un zanja el vehiculo tiene dano en su parte delantera lateral izquierdo opticas capot etc la acompanante amiga sufre golpes a raiz del impacto es atendida en clinica guemes de lujan sin mas desplazamientos;vehiculo asegurado circulaba avenida cabred curva esquivar perro desplaza cayendo delantero zanja vehiculo tiene dano su parte delantera lateral izquierdo opticas capot etc acompanante amiga sufre golpes raiz impacto es atendida clinica guemes lujan sin mas desplazamientos;comprometida;tercera persona;1
aa    ;circulando por david magdalena a lllegar a la interseccion con calle belgrano se produce la colision con mi parte delantera y la parte trasera derecha de una camioneta que circulaba por belgrano a raiz del impacto la camioneta se desplaza y embiste a  un vh estacionadosin lesiones;circulando david magdalena lllegar interseccion calle belgrano produce colision mi parte delantera parte trasera derecha una camioneta circulaba belgrano raiz impacto camioneta desplaza embiste vehiculo estacionadosin lesiones;concurrente;primera persona;1
aa    ;circulaba por consejal jose dans rey doblo en derqui y no observo al tercero que freno y lo embisto en la parte trasera  con mi parte delantera en el vh tercero hubo lesionados sin intervencion policial ni medica;circulaba consejal jose dans rey doblo derqui no observo tercero freno embisto parte trasera mi parte delantera vehiculo tercero hubo lesionados sin intencion policial ni medica;comprometida;primera persona;1
