,cod_accidente,descripcion_del_hecho - Final,responsabilidad
0,am    ,mecanica hecho s vs asegurado asegurado circulaba alsina colisiona parte delantera moto sobrepasarla ubicarse delante fren golpe transito moto iba sola persona recuerda llevaba moto ocupante caen piso presentaba lesiones visibles ,comprometida
1,otros ,asegurado empedrada pidar via tranvia pierde estabilidad moto cae suelo junto tercero amiga circulaba acompanante moto ,comprometida
2,am    ,aseg circulando maipu ingresar garage colisionada parte lateral moto circulaba detras intentaba sobrepasarla motociclista acompanante caen piso levantan solos ,comprometida
3,am    ,asegurado estacionado boticelli descender impactado puerta delantera tercero moto circulaba misma moto desplaza colisiona tercero circulaba colectora moto sola persona ,comprometida
4,am    ,circulando independencia llegar boedo guino colocado girar dicha dejo pasar auto color plateado termina pasar vehiculo aparece moto termina dando roce parte delantera moto dicha moto venia unicamente colocado cae piso manifiesta dolores concurre revisan lugar trasladan concurre zona toma datos denuncia secuestro unidades,comprometida
5,am    ,asegurado estacionado asegurado abre puerta colisionado tercero moto persona cae pavimento tercero retira propios mediosel asegurado confirmo mecanica denunciada trata tema leve ,comprometida
6,am    ,asegurada circulando maipu capital intentar estacionar colisiona tercero circulando parte trasera pinchando rueda trasera desp,comprometida
7,aa    ,circulaba libertador parte delantera parte trasera tercero detiene delante raiz ocupante vehiculo manifestaba sentir dolor cervical ,comprometida
8,aa    ,lugar ocurrencia paseo circulando paseo llego cruce colisionada auto venia ultima danando parte delantera sobrina acompanante ero resultan dolores intervencion,concurrente
9,am    ,circulaba irigoin oeste tercero venia adelante fren golpe venia atras pude evitar colision s eproducjo impactod mecanica hecho s tercero circulando irigoin detuvo momento leve parte trasera moto golpe esposa giselle certificados medicos hicieron atender dirigiendo domicilio hijos encontraban compania adulto querian llegar rapido casa danos moto parte trasera triunfo seguros,comprometida
10,am    ,lunes aproximadamente hs circulando bartolome mitre ramos meja queriendo doblar esquina almirante brown costado izquierda m auto moto circulaba bartolome mitre ocupada personas cuales caen piso intercambiamos datos personales seguro parte ma ocupantes,comprometida
11,aa    ,denuncia tercerome encontraba detenido libertador esperando cambio semaforo embestido tercero parte trasera ocasionando danos detallados,comprometida
12,am    ,aseg circulando gaona embiste parte delantera tercero detiene forma abrupta semaforo ocuptantes caen pavimento interv retiran medios lesiones evidentes,comprometida
13,am    ,circulaba c villegas llego interseccion larrazabal doblo colisiono moto venia detras cuyo advierte maniobra colisiona lateral delantero derecha unidad moto acompanante llevaban cayeron piso sufrieron lesionalguna llamamos retiraron propi medios andando moto acompanante moto fabcundo lopez dni datos tercero sergio barrionuevo yamaha ybr jpc posee,comprometida
14,aci   ,aseg circulando monroe llegar interseccion videla da paso avanzar colisiona parte delantera rueda trasera tercero circulaba bici ocupante colocado caeno manifesto lesiones retiro propios medios intervencion desplazamientos asegurado ,concurrente
15,am    ,vehiculo asegurado giraba tomar lascanosiendo embestido motoa puerta trasera motociclista caeno recuerda llevaba cascono ,comprometida
16,peatã“n,asegurado ingresando estacionamiento hospital municipal moron verifica puede ingresar realizar marcha atras pisa empleado vigilancia lugar rueda delantera peaton cayo asfalto atendido hospital intervencion policial constataron presenta lesiones,comprometida
17,am    ,asegurado circulando san martin onda cruzaba galicia cambia semaforo tercero moto circulaba ultima embiste lateral izquierda ocupante cae piso ,comprometida
18,am    ,aseg circulando rucci colisionado lateral trasero derecha rueda delantera tercero moto cruzo ocupantes cascos colocado caen moto moto lesiones acompanante lesion menor lesiones brazo izquierda,discutida
19,am    ,encontraba circulando avda chiclana moto impacta lateral trasero izquierda cayendo unico tripulante suelo trasladado same hospital penna lesionados ros involucrados stro mas alla declarado ,comprometida
20,aci   ,asegurado iba circulando potosi llegar domicilio maniobra atras colisiona bicicleta menor anos ciclista cayo piso asegurado llevo centro atencion upa lanus seguridad recomendaron llevar evita sacar placa ,comprometida
21,am    ,detenido semanforo avda castanares reinicio marcha mientras avanzo tercero moto circulaba misma contrario dobla u pasandose hacia contraria yop circulaba salio imprevisto detras colectivo llegue impacta lateral izquierda iban ocupantes caen piso ,discutida
22,am    ,vehiculo asegurado circulando colon momento detiene giro fines poder doblar moto circulaba detras colisiona parte trasera moto circulaba sola cae piso utilizaba ,discutida
23,peatã“n,redgreenlue asegurado circulando boulevard buenos aires asegurado dobla hacia semaforo tomar rodriguez asegurado doblar tercero menor edad rodriguez asegurado embiste parte delantera lesion visible ,concurrente
24,am    ,asegurado circulando rep guatemala altura interseccion virrey cisneros san justo bs as tercero circulaba ultima moto ocupante asegurado embisti frente derecha lateral izquierda tercero cae pavimiento pierde conocimiento reincorpora propios medios desplazamientos ,comprometida
25,am    ,circulando peron moto circulaba cierra repentinamente colisiona lateral derecha persoana moto cae piso llevaba levanta ,comprometida
26,am    ,asegurado detenido pedro suarez ingresar lubricentro guino colisionado parte trasera delantera tercero moto ocupante sabe cayo cieculaba detras tercero raspon luego medios moto,comprometida
