cod_accidente,descripcion_del_hecho - Final,responsabilidad,fuzzy,no_hpx
am    ,mecanica hecho s vs asegurado asegurado circulaba alsina colisiona parte delantera moto sobrepasarla ubicarse delante fren golpe transito moto iba sola persona recuerda llevaba moto ocupante caen piso presentaba lesiones visibles ,comprometida,mecanica hecho asfalto vs aseg aseg circulaba alsina colisionando parte delante moto sobrepasarla ubicarse delante frena golpe transito moto iba sola personas recuerda llevaba moto ocupantes caen piso presentaba lesiones visibles,mecanica hecho asfalto vs aseg aseg circulaba alsina colisionando parte delante moto sobrepasarla delante frena golpe transito moto iba sola personas recuerda llevaba moto ocupantes caen piso presentaba lesiones visibles
otros ,asegurado empedrada pidar via tranvia pierde estabilidad moto cae suelo junto tercero amiga circulaba acompanante moto ,comprometida,aseg empedrada pidar via tranvia pierde estabilidad moto caen suelo junto tercero amiga circulaba acompanante moto,aseg via pierde estabilidad moto caen suelo junto tercero amiga circulaba acompanante moto
am    ,aseg circulando maipu ingresar garage colisionada parte lateral moto circulaba detras intentaba sobrepasarla motociclista acompanante caen piso levantan solos ,comprometida,aseg circulando maipu ingresar garage colisionando parte lateral moto circulaba detras intentaba sobrepasarla motociclista acompanante caen piso levanta solo,aseg circulando maipu ingresar garage colisionando parte lateral moto circulaba detras intentaba sobrepasarla motociclista acompanante caen piso levanta solo
am    ,asegurado estacionado boticelli descender impactado puerta delantera tercero moto circulaba misma moto desplaza colisiona tercero circulaba colectora moto sola persona ,comprometida,aseg estacionado boticelli descender impactado puerta delante tercero moto circulaba mismo moto desplazamientos colisionando tercero circulaba colectora moto sola personas,aseg estacionado descender impactado puerta delante tercero moto circulaba mismo moto desplazamientos colisionando tercero circulaba colectora moto sola personas
am    ,circulando independencia llegar boedo guino colocado girar dicha dejo pasar auto color plateado termina pasar vehiculo aparece moto termina dando roce parte delantera moto dicha moto venia unicamente colocado cae piso manifiesta dolores concurre revisan lugar trasladan concurre zona toma datos denuncia secuestro unidades,comprometida,circulando independencia llegar boedo guino colocado girar dicha dejo pasar auto dolor plateado termina pasar vehiculo aparece moto termina dando roce parte delante moto dicha moto venia unicamente colocado caen piso manifiesta dolor concurre san lugar trasladado concurre zona tomar datos denuncia secuestro unidades,circulando independencia llegar boedo guino colocado girar dicha dejo pasar auto dolor termina pasar vehiculo aparece moto termina dando roce parte delante moto dicha moto venia unicamente colocado caen piso manifiesta dolor concurre san lugar trasladado concurre zona tomar datos denuncia secuestro unidades
am    ,asegurado estacionado asegurado abre puerta colisionado tercero moto persona cae pavimento tercero retira propios mediosel asegurado confirmo mecanica denunciada trata tema leve ,comprometida,aseg estacionado aseg abre puerta colisionando tercero moto personas caen pavimento tercero retira propios medios aseg confirmo mecanica denunciada trata tema leve,aseg estacionado aseg abre puerta colisionando tercero moto personas caen pavimento tercero retira propios medios aseg confirmo mecanica trata tema leve
am    ,asegurada circulando maipu capital intentar estacionar colisiona tercero circulando parte trasera pinchando rueda trasera desp,comprometida,aseg circulando maipu capital intentar estacionar colisionando tercero circulando parte trasera pinchando rueda trasera desplazamientos,aseg circulando maipu capital intentar estacionar colisionando tercero circulando parte trasera rueda trasera desplazamientos
aa    ,circulaba libertador parte delantera parte trasera tercero detiene delante raiz ocupante vehiculo manifestaba sentir dolor cervical ,comprometida,circulaba libertador parte delante parte trasera tercero detiene delante raiz ocupantes vehiculo manifestaba sentir dolor cervical,circulaba libertador parte delante parte trasera tercero detiene delante raiz ocupantes vehiculo manifestaba sentir dolor cervical
aa    ,lugar ocurrencia paseo circulando paseo llego cruce colisionada auto venia ultima danando parte delantera sobrina acompanante ero resultan dolores intervencion,concurrente,lugar ocurrencia paseo circulando paseo llego cruce colisionando auto venia ultima danando parte delante sobrina acompanante trasero resultan dolor intervencion,lugar ocurrencia paseo circulando paseo llego cruce colisionando auto venia ultima danando parte delante acompanante trasero resultan dolor intervencion
am    ,circulaba irigoin oeste tercero venia adelante fren golpe venia atras pude evitar colision s eproducjo impactod mecanica hecho s tercero circulando irigoin detuvo momento leve parte trasera moto golpe esposa giselle certificados medicos hicieron atender dirigiendo domicilio hijos encontraban compania adulto querian llegar rapido casa danos moto parte trasera triunfo seguros,comprometida,circulaba irigoin oeste tercero venia delante frena golpe venia atras pude evitar colisionando asfalto eproducjo impacto mecanica hecho asfalto tercero circulando irigoin detuvo momento leve parte trasera moto golpe esposa giselle certificados medios hicieron atender dirigiendo domicilio hijos encontraban compania adulto querian llegar rapido casa datos moto parte trasera triunfo seguros,circulaba irigoin oeste tercero venia delante frena golpe venia atras pude evitar colisionando asfalto impacto mecanica hecho asfalto tercero circulando irigoin detuvo momento leve parte trasera moto golpe esposa medios hicieron atender domicilio hijos encontraban compania llegar rapido casa datos moto parte trasera triunfo seguros
