cod_accidente;descripcion_del_hecho - Final;responsabilidad
am    ;mecanica hecho s vs asegurado asegurado circulaba alsina colisiona parte delantera moto sobrepasarla izquierda ubicarse delante fren golpe transito moto iba sola persona recuerda llevaba moto ocupante caen piso presentaba lesiones visibles ;comprometida
otros ;asegurado empedrada pidar via tranvia pierde estabilidad moto cae suelo junto tercero amiga circulaba acompanante moto ;comprometida
am    ;aseg circulando maipu ingresar garage colisionada parte lateral izquierda moto circulaba detras intentaba sobrepasarla motociclista acompanante caen piso levantan solos ;comprometida
am    ;asegurado estacionado boticelli descender impactado puerta delantera izquierda tercero moto circulaba misma moto desplaza colisiona tercero circulaba colectora moto sola persona ;comprometida
am    ;circulando independencia llegar boedo guino colocado girar izquierda dicha dejo pasar auto color plateado termina pasar vehiculo aparece moto termina dando roce parte delantera izquierda moto dicha moto venia unicamente colocado cae piso manifiesta dolores concurre revisan lugar trasladan concurre zona toma datos denuncia secuestro unidades;comprometida
am    ;asegurado estacionado asegurado abre puerta colisionado tercero moto persona cae pavimento tercero retira propios mediosel asegurado confirmo mecanica denunciada trata tema leve ;comprometida
am    ;asegurada circulando maipu capital derecha intentar estacionar colisiona tercero circulando parte trasera pinchando rueda trasera derecha desp;comprometida
aa    ;circulaba libertador parte delantera parte trasera tercero detiene delante raiz ocupante vehiculo manifestaba sentir dolor cervical ;comprometida
aa    ;lugar ocurrencia paseo circulando paseo llego cruce colisionada auto venia ultima danando parte delantera izquierda sobrina acompanante ero resultan dolores ;concurrente
am    ;circulaba irigoin oeste tercero venia adelante fren golpe venia atras pude evitar colision s eproducjo impactod mecanica hecho s tercero circulando irigoin detuvo momento leve parte trasera moto golpe esposa giselle certificados medicos hicieron atender dirigiendo domicilio hijos encontraban compania adulto querian llegar rapido casa danos moto parte trasera triunfo seguros;comprometida
am    ;lunes aproximadamente hs circulando bartolome mitre ramos meja queriendo doblar izquierda esquina almirante brown costado izquierdo m auto moto circulaba bartolome mitre ocupada personas cuales caen piso intercambiamos datos personales seguro parte ma ocupantes;comprometida
aa    ;denuncia tercerome encontraba detenido libertador esperando cambio semaforo embestido tercero parte trasera ocasionando danos detallados;comprometida
am    ;aseg circulando gaona embiste parte delantera tercero detiene forma abrupta semaforo ocuptantes caen pavimento ;comprometida
am    ;circulaba c villegas llego interseccion larrazabal doblo derecha colisiono moto venia detras cuyo advierte maniobra colisiona lateral delantero derecho unidad moto acompanante llevaban cayeron piso sufrieron lesionalguna llamamos retiraron propi medios andando moto acompanante moto fabcundo lopez dni datos tercero sergio barrionuevo yamaha ybr jpc posee;comprometida
