cod_accidente;descripcion_del_hecho - Final;responsabilidad
am    ;mecanica hecho s vs asegurado asegurado circulaba alsina colisiona parte delantera moto sobrepasarla izquierda ubicarse delante fren golpe transito moto iba sola persona recuerda llevaba moto ocupante caen piso presentaba lesiones visibles intervino policiad corroboro asgeurada trata tema leve responsabilidad comprometida choca parte trasera tercera agende whats app quedo mandar registro formalizo adn tercerad;comprometida
otros ;asegurado empedrada pidar via tranvia pierde estabilidad moto cae suelo junto tercero amiga circulaba acompanante moto intervino lugar acompanente lesion muneca derecha golpe ampliacin aseguradoel circulando guatemala casi llegando araoz dicha empedrada vias tranvia quizo esquivar pozo pierde estabilidad pisar via tranvia motivo caen piso transportada sufre lesiones muneca sabe comisaria realizaron test alcoholemia amiga congreso presentar documentacion cerrado llamo ra cel asentado denuncia;comprometida
am    ;aseg circulando maipu ingresar garage colisionada parte lateral izquierda moto circulaba detras intentaba sobrepasarla motociclista acompanante caen piso levantan solos formalizo morenolos terceros intercambiaron datos retiraron lugar tenian papeles moto tampoco tenccan firmado solo tomo datos terceors trasladaron asegurada terceros manifestaron tener lesiones retuvieran moto tencca demora terceros quisieron esperar tenccan solo raspones hicieron alcoholemia ninguno d;comprometida
am    ;asegurado estacionado boticelli descender impactado puerta delantera izquierda tercero moto circulaba misma moto desplaza colisiona tercero circulaba colectora moto sola persona interviene tercero moto pasa buscar familiar tenia golpe ratifico mecanicaformalizo moron d mas datos tercero;comprometida
am    ;circulando independencia llegar boedo guino colocado girar izquierda dicha dejo pasar auto color plateado termina pasar vehiculo aparece moto termina dando roce parte delantera izquierda moto dicha moto venia unicamente colocado cae piso manifiesta dolores concurre revisan lugar trasladan concurre zona toma datos denuncia secuestro unidades;comprometida
am    ;asegurado estacionado asegurado abre puerta colisionado tercero moto persona cae pavimento tercero retira propios mediosel asegurado confirmo mecanica denunciada trata tema leve intervino quedo obtener mayores datos tercero contacto despues hecho tercero tena seguro dio datos productor sabe queda oficina productor tercero va ir pedir datos ah d;comprometida
am    ;asegurada circulando maipu capital derecha intentar estacionar colisiona tercero circulando parte trasera pinchando rueda trasera derecha desp;comprometida
aa    ;circulaba libertador parte delantera parte trasera tercero detiene delante raiz ocupante vehiculo manifestaba sentir dolor cervical interviene personal policial cuales trasladan mismo hospital moreno lesiones;comprometida
aa    ;lugar ocurrencia paseo circulando paseo llego cruce colisionada auto venia ultima danando parte delantera izquierda sobrina acompanante ero resultan dolores intervencion;concurrente
am    ;circulaba irigoin oeste tercero venia adelante fren golpe venia atras pude evitar colision s eproducjo impactod mecanica hecho s tercero circulando irigoin detuvo momento leve parte trasera moto golpe esposa giselle certificados medicos hicieron atender dirigiendo domicilio hijos encontraban compania adulto querian llegar rapido casa danos moto parte trasera triunfo seguros;comprometida
am    ;lunes aproximadamente hs circulando bartolome mitre ramos meja queriendo doblar izquierda esquina almirante brown costado izquierdo m auto moto circulaba bartolome mitre ocupada personas cuales caen piso intercambiamos datos personales seguro parte ma ocupantes;comprometida
aa    ;denuncia tercerome encontraba detenido libertador esperando cambio semaforo embestido tercero parte trasera ocasionando danos detallados;comprometida
am    ;aseg circulando gaona embiste parte delantera tercero detiene forma abrupta semaforo ocuptantes caen pavimento interv retiran medios lesiones evidentes;comprometida
am    ;circulaba c villegas llego interseccion larrazabal doblo derecha colisiono moto venia detras cuyo advierte maniobra colisiona lateral delantero derecho unidad moto acompanante llevaban cayeron piso sufrieron lesionalguna llamamos retiraron propi medios andando moto acompanante moto fabcundo lopez dni datos tercero sergio barrionuevo yamaha ybr jpc posee;comprometida
aci   ;aseg circulando monroe llegar interseccion videla da paso avanzar colisiona parte delantera derecha rueda trasera tercero circulaba bici ocupante colocado caeno manifesto lesiones retiro propios medios intervencion desplazamientos asegurado formalizo san justo bicicleta circulaba izquierda asegurada vio asegurada freno auto cede paso comienza cruzar termina embistiendo bicicleta circulaba detrcs auto auto solo pequeno rayon debajo optica lado derechovuestro asegurado formalizo san justo biciclet acirculaba izquierda asegurada vio asegurada freno auto cede paso comienza cruzar termina embistiendo bicicleta circulaba detrcs auto auto solo pequeno rayon debajo optica lado derecho;concurrente
am    ;vehiculo asegurado giraba derecha tomar lascanosiendo embestido motoa puerta trasera derecha motociclista caeno recuerda llevaba cascono interviene nadieintercambian datos retirandose medioscon molestia hombrote asegurada;comprometida
peatã“n;asegurado ingresando estacionamiento hospital municipal moron verifica puede ingresar realizar marcha atras pisa empleado vigilancia lugar rueda delantera izquierda peaton cayo asfalto atendido hospital intervencion policial constataron presenta lesiones;comprometida
am    ;asegurado circulando san martin onda cruzaba galicia cambia semaforo tercero moto circulaba ultima embiste lateral izquierdoun ocupante cae piso intervino trasladado htal alvarez constata q lesiones gravedad amplio denuncia asegurado asegurado dice cruzo semaforo posiblemente pasado vio moto moto choco puerta delantera izquierda tercero trasladado lugar trasladaron dejaron ahcc buscar hija hicieron alcoholemia manana venia control medico anos llevaron comisaria llevaron auto todavia entregaron auto d;comprometida
am    ;aseg circulando rucci colisionado lateral trasero derecho rueda delantera tercero moto cruzo ocupantes cascos colocado caen moto moto lesiones izquierda acompanante lesion menor lesiones brazo izquierdointervino traslado lesionados intervino retuvo aseg comisaria desplazamientosd ampliamos asegurado ninguna ocupantes asegurado dice tercera cruz moto tenia seguro va reclamar testigos tralado llev veiculos asegurado trasladado hicieron alcoholemia d;discutida
am    ;encontraba circulando avda chiclana moto impacta lateral trasero izquierdo cayendo unico tripulante suelo trasladado same hospital penna lesionados ros involucrados stro mas alla declarado formalizo floresel asegurado mayor auto retenido comisara estacionado chiclana puso marcha auto vio moto metros tena semaforo sali cordn avanz sinti golpe moto iba mismo avanzando quedarse esperando abriera semaforo hicieron examen alcoholemia dio cero venia comprar repuestos colocar aire acondicionado tercero trasladao automovil asegurado quedo retenido tena consciente vio asfalto d;comprometida
aci   ;asegurado iba circulando potosi llegar domicilio maniobra atras colisiona bicicleta menor anos ciclista cayo piso asegurado llevo centro atencion upa lanus seguridad recomendaron llevar evita sacar placa intervino asegurado formalizo lomas zamora dio marcha atras menor detras auto asegurado mayor acompan menor casa luego hospital junto acompan lugares distintos haba traumatlogo finalmente dej hospital evita supo lleg ser fractura quedo pasarnos menor;comprometida
am    ;detenido semanforo avda castanares reinicio marcha mientras avanzo tercero moto circulaba misma contrario dobla u pasandose hacia contraria yop circulaba salio imprevisto detras colectivo llegue impacta lateral izquierdo iban ocupantes caen piso intervino acompanante tenia corte atendidos same lugar luego retiramos lugar cel;discutida
am    ;vehiculo asegurado circulando colon momento detiene giro fines poder doblar izquierda moto circulaba detras colisiona parte trasera moto circulaba sola cae piso utilizaba interviene interviene luego motociclista retira propios medios cabe destacar efectivo policial ofrece asistencia medica moto nego ser atendidod ampliacion asegurado cuanto forma produjo mismo direccion bien colon esquina valentin alsina monte senora puso giro doblar izquierda detiene pase moto venia valentin alsina moto viene colon colisiona detras segundos golpeando parte izquierda paragolpes trasero parte baul mismo lado lado conductorante cualquier duda puede comunicar celular mas detalles viajaba asiento acompanante momento siniestro;discutida
peatã“n;redgreenlue asegurado circulando boulevard buenos aires asegurado dobla hacia derecha semaforo tomar rodriguez asegurado doblar tercero menor edad rodriguez asegurado embiste parte delantera lesion visible intervino intervino desplazamientos ampliacion jorge jonitz mailtojorgejonitzhotmailcom enviado jueves enero pm alejandra noemi carrera asunto lesiones gsl sra alejandra buenas tardes contesto posible pide respecto hecho ocurrido figura denuncia siniestro cantidad ocupantes vehiculo eramos personas intervencion policial persona embestida sufrio lesiones cayo luego levanto cruzo boulevard bs as corriendo tomaron datos telefonos ninguna persona realizaron ningun control alcoholemia intervencion policial saludos jorge g jonitz;concurrente
