cod_accidente,descripcion,fuzzy,no_hapaxes,responsabilidad
am    ,mecanica hecho s vs asegurado asegurado circulaba calle alsina colisiona parte delantera moto sobrepasarla izquierda ubicarse delante fren golpe transito moto iba sola persona recuerda si llevaba casco moto ocupante caen piso conductor presentaba lesiones visibles ,mecanica hecho s vs asegurado asegurado circulaba calle alsina colisiona parte delantera moto sobrepasarla izquierda ubicarse delante frena golpe transito moto iba sola persona recuerda si llevaba casco moto ocupante caen piso conductor presentaba lesiones visibles,mecanica hecho s vs asegurado asegurado circulaba calle alsina colisiona parte delantera moto sobrepasarla izquierda delante frena golpe transito moto iba sola persona recuerda si llevaba casco moto ocupante caen piso conductor presentaba lesiones visibles,comprometida
otros ,vh asegurado calle empedrada pidar via tranvia pierde estabilidad moto cae suelo junto tercero amiga circulaba acompanante moto ,vh asegurado calle empedrada pidar via tranvia pierde estabilidad moto cae suelo junto tercero amiga circulaba acompanante moto,vh asegurado calle via pierde estabilidad moto cae suelo junto tercero amiga circulaba acompanante moto,comprometida
am    ,aseg circulando maipu ingresar garage colisionada parte lateral izquierda moto circulaba detras intentaba sobrepasarla motociclista acompanante casco caen piso levantan solos formalizo morenolos terceros intercambiaron datos retiraron lugar tenian papeles moto tampoco tenccan firmado policia solo tomo datos terceors trasladaron asegurada terceros manifestaron tener lesiones retuvieran moto ambulancia tencca demora terceros quisieron esperar tenccan solo raspones hicieron alcoholemia ninguno d,aseg circulando maipu ingresar garage colisionada parte lateral izquierda moto circulaba detras intentaba sobrepasarla motociclista acompanante casco caen piso levanta solo formalizo morenolos terceros intercambiaron datos retiro lugar tenia papeles moto tampoco tenccan firmado policia solo tomo datos terceors trasladado asegurado terceros manifestaron tener lesiones retuvieran moto ambulancia tencca demora terceros quisieron esperar tenccan solo raspones hicieron alcoholemia ninguno d,aseg circulando maipu ingresar garage colisionada parte lateral izquierda moto circulaba detras intentaba sobrepasarla motociclista acompanante casco caen piso levanta solo formalizo terceros intercambiaron datos retiro lugar tenia papeles moto tampoco tenccan policia solo tomo datos trasladado asegurado terceros manifestaron tener lesiones moto ambulancia tencca terceros quisieron tenccan solo raspones hicieron alcoholemia ninguno d,comprometida
am    ,asegurado estacionado calle boticelli descender impactado puerta delantera izquierda tercero moto circulaba misma impacto moto desplaza colisiona tercero circulaba colectora moto sola persona casco ,asegurado estacionado calle boticelli descender impactado puerta delantera izquierda tercero moto circulaba mismo impacto moto desplaza colisiona tercero circulaba colectora moto sola persona casco,asegurado estacionado calle descender impactado puerta delantera izquierda tercero moto circulaba mismo impacto moto desplaza colisiona tercero circulaba colectora moto sola persona casco,comprometida
am    ,circulando av independencia llegar av boedo guino colocado girar izquierda dicha avenida dejo pasar auto color plateado termina pasar vehiculo aparece moto termina dando roce parte delantera izquierda moto dicha moto venia unicamente conductor casco colocado cae piso manifiesta dolores concurre ambulancia revisan lugar trasladan concurre policia zona toma datos denuncia secuestro unidades,circulando av independencia llegar av boedo guino colocado girar izquierda dicha venia dejo pasar auto dolor plateado termina pasar vehiculo aparece moto termina dando roce parte delantera izquierda moto dicha moto venia unicamente conductor casco colocado cae piso manifiesta dolor concurre ambulancia revisan lugar trasladado concurre policia zona tomar datos denuncia secuestro unidades,circulando av independencia llegar av boedo guino colocado girar izquierda dicha venia dejo pasar auto dolor termina pasar vehiculo aparece moto termina dando roce parte delantera izquierda moto dicha moto venia unicamente conductor casco colocado cae piso manifiesta dolor concurre ambulancia lugar trasladado concurre policia zona tomar datos denuncia secuestro unidades,comprometida
am    ,vh asegurado estacionado calle rojo asegurado abre puerta conductor colisionado tercero moto persona casco cae pavimento tercero retira propios mediosel asegurado confirmo mecanica denunciada trata tema leve ,vh asegurado estacionado calle rojo asegurado abre puerta conductor colisionado tercero moto persona casco cae pavimento tercero retira propios medios asegurado confirmo mecanica denunciada trata tema leve,vh asegurado estacionado calle rojo asegurado abre puerta conductor colisionado tercero moto persona casco cae pavimento tercero retira propios medios asegurado confirmo mecanica trata tema leve,comprometida
am    ,asegurada circulando av maipu capital mano derecha intentar estacionar colisiona tercero circulando casco parte trasera pinchando rueda trasera derecha desp,asegurado circulando av maipu capital mano derecha intentar estacionar colisiona tercero circulando casco parte trasera pinchando rueda trasera derecha desp,asegurado circulando av maipu capital mano derecha intentar estacionar colisiona tercero circulando casco parte trasera rueda trasera derecha desp,comprometida
aa    ,circulaba avenida libertador impacto parte delantera parte trasera tercero detiene delante raiz impacto ocupante vehiculo manifestaba sentir dolor cervical ,circulaba venia libertador impacto parte delantera parte trasera tercero detiene delante raiz impacto ocupante vehiculo manifestaba sentir dolor cervical,circulaba venia libertador impacto parte delantera parte trasera tercero detiene delante raiz impacto ocupante vehiculo manifestaba sentir dolor cervical,comprometida
aa    ,lugar ocurrencia paseo av circulando paseo llego cruce av colisionada auto venia ultima danando parte delantera izquierda impacto sobrina acompanante vh ero resultan dolores ,lugar ocurrencia paseo av circulando paseo llego cruce av colisionada auto venia ultima danando parte delantera izquierda impacto sobrina acompanante vh ero resultan dolor,lugar ocurrencia paseo av circulando paseo llego cruce av colisionada auto venia ultima danando parte delantera izquierda impacto acompanante vh ero resultan dolor,concurrente
am    ,circulaba irigoin oeste tercero venia adelante fren golpe venia atras pude evitar colision s eproducjo impactod mecanica hecho s tercero circulando irigoin detuvo momento impacto leve parte trasera moto golpe esposa giselle certificados medicos hicieron atender dirigiendo domicilio hijos encontraban compania adulto querian llegar rapido casa danos moto parte trasera triunfo seguros,circulaba irigoin oeste tercero venia delante frena golpe venia atras pude evitar colision s eproducjo impacto mecanica hecho s tercero circulando irigoin detuvo momento impacto leve parte trasera moto golpe esposa giselle certificados medios hicieron atender dirigiendo domicilio hijos encontraban compania adulto querian llegar rapido casa datos moto parte trasera triunfo seguros,circulaba irigoin oeste tercero venia delante frena golpe venia atras pude evitar colision s impacto mecanica hecho s tercero circulando irigoin detuvo momento impacto leve parte trasera moto golpe esposa medios hicieron atender domicilio hijos encontraban compania llegar rapido casa datos moto parte trasera triunfo seguros,comprometida
