;Unnamed: 0;Idenx original;tipo_de_accidente;responsabilidad;descripcion_del_hecho - Final;Spacy Lemma-Pos
0;0;7;auto - auto;comprometida;circulaba libertador parte delantera parte trasera tercero detiene delante raiz ocupante vehiculo manifestaba sentir dolor cervical ;[('circular', 'AUX'), ('libertador', 'PROPN'), ('partir', 'VERB'), ('delantero', 'ADJ'), ('partir', 'NOUN'), ('trasero', 'ADJ'), ('3', 'ADJ'), ('detener', 'VERB'), ('delante', 'ADV'), ('raiz', 'PROPN'), ('ocupante', 'ADJ'), ('vehicular', 'NOUN'), ('manifestar', 'AUX'), ('sentir', 'VERB'), ('dolor', 'NOUN'), ('cervical', 'ADJ')]
1;1;8;auto - auto;concurrente;lugar ocurrencia paseo circulando paseo llego cruce colisionada auto venia ultima danando parte delantera izquierda sobrina acompanante ero resultan dolores intervencion;[('lugar', 'NOUN'), ('ocurrencia', 'PROPN'), ('pasear', 'VERB'), ('circular', 'VERB'), ('pasear', 'NOUN'), ('llegar', 'PROPN'), ('cruzar', 'PROPN'), ('colisionar', 'ADJ'), ('auto', 'PROPN'), ('venia', 'PROPN'), ('ultimar', 'PROPN'), ('danando', 'VERB'), ('partir', 'NOUN'), ('delantero', 'ADJ'), ('izquierdo', 'ADJ'), ('sobrino', 'ADJ'), ('acompanante', 'ADJ'), ('erar', 'PROPN'), ('resultar', 'AUX'), ('dolor', 'NOUN'), ('intervencion', 'ADJ')]
2;2;11;auto - auto;comprometida;denuncia tercerome encontraba detenido libertador esperando cambio semaforo embestido tercero parte trasera ocasionando danos detallados;[('denunciar', 'NOUN'), ('tercerome', 'PROPN'), ('encontrar', 'AUX'), ('detener', 'ADJ'), ('libertador', 'NOUN'), ('esperar', 'VERB'), ('cambiar', 'NOUN'), ('semaforo', 'ADJ'), ('embestir', 'ADJ'), ('3', 'ADJ'), ('partir', 'NOUN'), ('trasero', 'ADJ'), ('ocasionar', 'VERB'), ('danos', 'ADJ'), ('detallar', 'ADJ')]
3;3;32;auto - auto;comprometida;congestionada frenar vehculo venia delante mio puede frenar tiempo embest;[('congestionar', 'ADJ'), ('frenar', 'VERB'), ('vehculo', 'PROPN'), ('venia', 'PROPN'), ('delante', 'ADV'), ('mio', 'PROPN'), ('poder', 'AUX'), ('frenar', 'VERB'), ('tiempo', 'NOUN'), ('embest', 'PRON')]
4;4;48;auto - auto;comprometida;aseg circulando panamericana queda medio stro cadena subre corte varias costillas fracturadas femininos posibles lesionadas ampliacin aseguradome informa recuerda siniestro perdio conocimiento sufrio golpes fracturas costillas retiraron ultimo recuerda circulando panamericana choque delante vehiculos antecedian frenaron abruptamente tambien cree auto venia detras choca llovia auto desplaza hacia adelante colisionando vehiculo antecedia encontraban femeninas nn denunciadas mas datos siniestro vehiculo antecesor colisiona atras femeninas denunciadas;[('aseg', 'PROPN'), ('circular', 'VERB'), ('panamericano', 'ADJ'), ('quedo', 'VERB'), ('mediar', 'NUM'), ('stro', 'INTJ'), ('cadena', 'NOUN'), ('subre', 'ADJ'), ('cortar', 'VERB'), ('varios', 'DET'), ('costilla', 'NOUN'), ('fracturar', 'ADJ'), ('femininos', 'ADJ'), ('posible', 'ADJ'), ('lesionar', 'ADJ'), ('ampliacin', 'ADJ'), ('aseguradome', 'PROPN'), ('informar', 'VERB'), ('recordar', 'VERB'), ('siniestro', 'ADJ'), ('perdio', 'NOUN'), ('conocimiento', 'NOUN'), ('sufrio', 'ADJ'), ('golpe', 'NOUN'), ('fracturar', 'ADJ'), ('costilla', 'ADJ'), ('retirar', 'VERB'), ('ultimar', 'ADV'), ('recordar', 'AUX'), ('circular', 'VERB'), ('panamericano', 'ADJ'), ('chocar', 'NOUN'), ('delante', 'ADV'), ('vehiculos', 'NOUN'), ('antecedian', 'AUX'), ('frenar', 'VERB'), ('abruptamente', 'ADV'), ('tambien', 'ADV'), ('creer', 'VERB'), ('auto', 'ADJ'), ('venia', 'PROPN'), ('detras', 'NOUN'), ('chocar', 'NOUN'), ('llovia', 'ADJ'), ('auto', 'ADJ'), ('desplazar', 'VERB'), ('hacia', 'ADP'), ('adelantar', 'ADV'), ('colisionar', 'VERB'), ('vehicular', 'NOUN'), ('antecedia', 'PROPN'), ('encontrar', 'AUX'), ('femenino', 'NOUN'), ('nn', 'PART'), ('denunciar', 'ADJ'), ('mas', 'ADV'), ('dato', 'NOUN'), ('siniestro', 'ADJ'), ('vehicular', 'NOUN'), ('antecesor', 'ADJ'), ('colisionar', 'VERB'), ('atras', 'ADJ'), ('femenino', 'ADJ'), ('denunciar', 'ADJ')]
5;5;57;auto - auto;comprometida;circulaba balbin intencin colisiono tercero parte trasera parte delantera dicho dicho tercero impacta do tercero parte trasera parte delantera do tercero vw suran patente petpaz claudia natalia dni federacion patronal poliza parte trasera terceros involucrados lesionados datos tercero pablo arturo gru ford focus pfk qbe seguros;[('circular', 'AUX'), ('balbin', 'PROPN'), ('intencin', 'PROPN'), ('colisionar', 'NOUN'), ('3', 'ADJ'), ('partir', 'NOUN'), ('trasero', 'ADJ'), ('partir', 'NOUN'), ('delantero', 'ADJ'), ('decir', 'ADJ'), ('decir', 'ADJ'), ('3', 'ADJ'), ('impactar', 'VERB'), ('do', 'ADP'), ('3', 'ADJ'), ('partir', 'NOUN'), ('trasero', 'ADJ'), ('partir', 'NOUN'), ('delantero', 'ADJ'), ('do', 'ADP'), ('3', 'ADJ'), ('vw', 'SCONJ'), ('suran', 'AUX'), ('patentar', 'ADJ'), ('petpaz', 'PROPN'), ('claudia', 'PROPN'), ('natalia', 'PROPN'), ('dni', 'ADP'), ('federacion', 'PROPN'), ('patronal', 'PROPN'), ('poliza', 'VERB'), ('partir', 'NOUN'), ('trasero', 'ADJ'), ('tercero', 'ADJ'), ('involucrar', 'ADJ'), ('lesionar', 'ADJ'), ('dato', 'NOUN'), ('3', 'ADJ'), ('pablar', 'PROPN'), ('arturo', 'PROPN'), ('gru', 'PROPN'), ('ford', 'PROPN'), ('focus', 'PROPN'), ('pfk', 'PROPN'), ('qbe', 'PROPN'), ('seguro', 'NOUN')]
6;6;58;auto - auto;comprometida;colectora panamericana casi thames cambio semaforo frenada intempestiva ampliamos asegurado relacion mecanica hecho manifesto circulaba colectora panamericana casi thames cree cambio semaforo rodado precedia freno intempestivamente pudo evitar impactar tercero parte trasera participo cruzaron datos lugar vio auto viajaban tomo datosd;[('colector', 'PROPN'), ('panamericano', 'ADJ'), ('casi', 'ADV'), ('thames', 'PROPN'), ('cambiar', 'NOUN'), ('semaforo', 'ADJ'), ('frenar', 'ADJ'), ('intempestivo', 'ADJ'), ('ampliar', 'VERB'), ('asegurar', 'ADJ'), ('relacion', 'PROPN'), ('mecanica', 'ADJ'), ('hacer', 'ADJ'), ('manifesto', 'ADJ'), ('circular', 'AUX'), ('colector', 'ADJ'), ('panamericano', 'ADJ'), ('casi', 'ADV'), ('thames', 'PROPN'), ('creer', 'VERB'), ('cambiar', 'NOUN'), ('semaforo', 'ADJ'), ('rodar', 'ADJ'), ('precedia', 'NOUN'), ('frenar', 'ADJ'), ('intempestivamente', 'ADV'), ('poder', 'AUX'), ('evitar', 'VERB'), ('impactar', 'VERB'), ('3', 'ADJ'), ('partir', 'NOUN'), ('trasero', 'ADJ'), ('participar', 'NOUN'), ('cruzar', 'VERB'), ('dato', 'NOUN'), ('lugar', 'NOUN'), ('ver', 'VERB'), ('auto', 'NOUN'), ('viajar', 'AUX'), ('tomar', 'PROPN'), ('datosd', 'PROPN')]
7;7;62;auto - auto;comprometida;aseg circulaba cabred curva esquivar desplaza cayendo dentro zanja vehiculo dano parte delantera lateral izquierdo opticas capot etc acompanante amiga sufre golpes raiz atendida clinica guemes lujan mas desplazamientos;[('aseg', 'PROPN'), ('circular', 'AUX'), ('cabred', 'PROPN'), ('curvo', 'PROPN'), ('esquivar', 'VERB'), ('desplazar', 'PROPN'), ('caer', 'VERB'), ('dentro', 'ADV'), ('zanjar', 'ADJ'), ('vehicular', 'NOUN'), ('dano', 'ADJ'), ('partir', 'VERB'), ('delantero', 'ADJ'), ('lateral', 'ADJ'), ('izquierdo', 'ADJ'), ('opticas', 'PROPN'), ('capot', 'PROPN'), ('etcétera', 'ADV'), ('acompanante', 'ADJ'), ('amigo', 'PROPN'), ('sufrir', 'VERB'), ('golpe', 'PROPN'), ('raiz', 'PROPN'), ('atender', 'PROPN'), ('clinica', 'ADJ'), ('guemes', 'NOUN'), ('lujan', 'AUX'), ('mas', 'CCONJ'), ('desplazamiento', 'NOUN')]
8;8;71;auto - auto;concurrente;circulando david magdalena lllegar interseccion belgrano produce colision parte delantera parte trasera derecha camioneta circulaba belgrano raiz camioneta desplaza embiste estacionadosin lesiones;[('circular', 'VERB'), ('david', 'PROPN'), ('magdalena', 'PROPN'), ('lllegar', 'VERB'), ('interseccion', 'PROPN'), ('belgrano', 'ADJ'), ('producir', 'VERB'), ('colision', 'PROPN'), ('partir', 'VERB'), ('delantero', 'ADJ'), ('partir', 'NOUN'), ('trasero', 'ADJ'), ('derecho', 'NOUN'), ('camioneta', 'NOUN'), ('circular', 'AUX'), ('belgrano', 'PROPN'), ('raiz', 'PROPN'), ('camioneta', 'PROPN'), ('desplazar', 'PROPN'), ('embestir', 'PROPN'), ('estacionadosin', 'ADP'), ('lesionar', 'NOUN')]
9;9;83;auto - auto;comprometida;circulaba consejal jose dans rey doblo derqui tercero freno embisto parte trasera parte delantera tercero lesionados intervencion policial medica;[('circular', 'AUX'), ('consejal', 'PROPN'), ('jose', 'PROPN'), ('dans', 'PROPN'), ('rey', 'PROPN'), ('doblar', 'PROPN'), ('derqui', 'PROPN'), ('3', 'ADJ'), ('frenar', 'NOUN'), ('embestir', 'ADJ'), ('partir', 'NOUN'), ('trasero', 'ADJ'), ('partir', 'NOUN'), ('delantero', 'ADJ'), ('3', 'ADJ'), ('lesionar', 'ADJ'), ('intervencion', 'PROPN'), ('policial', 'ADJ'), ('medicar', 'ADJ')]
10;10;91;auto - auto;comprometida;asegurado circulando zabala colisiona parte frontal parte tercero frena golpe personas tercero retira propios medios;[('asegurar', 'ADJ'), ('circular', 'PROPN'), ('zabala', 'PROPN'), ('colisionar', 'ADJ'), ('partir', 'NOUN'), ('frontal', 'ADJ'), ('partir', 'NOUN'), ('3', 'ADJ'), ('frenar', 'PROPN'), ('golpe', 'NOUN'), ('personar', 'NOUN'), ('3', 'ADJ'), ('retirar', 'VERB'), ('propio', 'DET'), ('medio', 'NOUN')]
11;11;97;auto - auto;comprometida;asegurado circulando s frontera colisiono parte delantera trasera tercero detuvo semaforo lesiones desplazamientos aseg amplia acompanante tercero tocaba;[('asegurar', 'ADJ'), ('circular', 'VERB'), ('segundo', 'PROPN'), ('frontero', 'NOUN'), ('colisionar', 'NOUN'), ('partir', 'VERB'), ('delantero', 'ADJ'), ('trasero', 'ADJ'), ('3', 'ADJ'), ('detener', 'VERB'), ('semaforo', 'PROPN'), ('lesionar', 'NOUN'), ('desplazamiento', 'PROPN'), ('aseg', 'PROPN'), ('amplio', 'PROPN'), ('acompanante', 'ADJ'), ('3', 'ADJ'), ('tocar', 'AUX')]
12;12;109;auto - auto;comprometida;mecanica hecho s vs asegurado circulando corrientes doblo izquierda continuar marcha lavalleun venia ultima asusta cambia carril invadiendo contraria habia doblado yocalle doble impacta parte delantera lateral izquierdoproducto aca pierde conocimiecontconocimientoes trasladado hospital zonal varelaen pueblojunto tercero acuso lesiones informaronal aca luego comisaria;[('mecanica', 'ADJ'), ('hacer', 'ADJ'), ('segundo', 'CCONJ'), ('vs', 'PROPN'), ('asegurar', 'ADJ'), ('circular', 'VERB'), ('corriente', 'PROPN'), ('doblar', 'PROPN'), ('izquierdo', 'ADJ'), ('continuar', 'VERB'), ('marchar', 'NOUN'), ('lavalleun', 'PROPN'), ('venia', 'PROPN'), ('ultimar', 'PROPN'), ('asustar', 'PROPN'), ('cambiar', 'VERB'), ('carril', 'PROPN'), ('invadir', 'VERB'), ('contrario', 'ADJ'), ('habia', 'ADJ'), ('doblar', 'VERB'), ('yocalle', 'NOUN'), ('doblar', 'ADJ'), ('impactar', 'ADJ'), ('partir', 'NOUN'), ('delantero', 'ADJ'), ('lateral', 'ADJ'), ('izquierdoproducto', 'ADJ'), ('aca', 'PROPN'), ('perder', 'PROPN'), ('conocimiecontconocimientoes', 'PROPN'), ('trasladar', 'ADJ'), ('hospital', 'PROPN'), ('zonal', 'PROPN'), ('varelaen', 'PROPN'), ('pueblojunto', 'NOUN'), ('3', 'ADJ'), ('acusar', 'VERB'), ('lesionar', 'NOUN'), ('informaronal', 'ADJ'), ('aca', 'PROPN'), ('luego', 'ADV'), ('comisaria', 'NOUN')]
