;Unnamed: 0;Idenx original;tipo_de_accidente;responsabilidad;descripcion_del_hecho - Final;Spacy Lemma-Pos
0;0;14;auto - ciclista;concurrente;aseg circulando monroe llegar interseccion videla da paso avanzar colisiona parte delantera derecha rueda trasera tercero circulaba bici ocupante colocado caeno manifesto lesiones retiro propios medios intervencion desplazamientos asegurado ;[('aseg', 'PROPN'), ('circular', 'VERB'), ('monroe', 'PROPN'), ('llegar', 'VERB'), ('interseccion', 'PROPN'), ('videla', 'PROPN'), ('dar', 'ADP'), ('pasar', 'NOUN'), ('avanzar', 'VERB'), ('colisionar', 'VERB'), ('partir', 'NOUN'), ('delantero', 'ADJ'), ('derecho', 'ADJ'), ('rodar', 'NOUN'), ('trasero', 'ADJ'), ('3', 'ADJ'), ('circular', 'AUX'), ('bici', 'PROPN'), ('ocupante', 'ADJ'), ('colocar', 'ADJ'), ('caeno', 'NOUN'), ('manifesto', 'ADJ'), ('lesionar', 'NOUN'), ('retirar', 'NOUN'), ('propio', 'DET'), ('medio', 'NOUN'), ('intervencion', 'ADJ'), ('desplazamiento', 'PROPN'), ('asegurar', 'ADJ')]
1;1;20;auto - ciclista;comprometida;asegurado iba circulando potosi llegar domicilio maniobra atras colisiona bicicleta menor anos ciclista cayo piso asegurado llevo centro atencion upa lanus seguridad recomendaron llevar evita sacar placa ;[('asegurar', 'ADJ'), ('ir', 'VERB'), ('circular', 'VERB'), ('potosi', 'VERB'), ('llegar', 'VERB'), ('domiciliar', 'NOUN'), ('maniobrar', 'NOUN'), ('atras', 'ADJ'), ('colisionar', 'ADJ'), ('bicicleta', 'NOUN'), ('menor', 'ADJ'), ('ano', 'ADJ'), ('ciclista', 'NOUN'), ('cayo', 'ADJ'), ('pisar', 'NOUN'), ('asegurar', 'ADJ'), ('llevar', 'VERB'), ('centrar', 'PROPN'), ('atencion', 'PROPN'), ('upar', 'PROPN'), ('lanus', 'PROPN'), ('seguridad', 'NOUN'), ('recomendar', 'VERB'), ('llevar', 'VERB'), ('evitar', 'VERB'), ('sacar', 'VERB'), ('placa', 'NOUN')]
2;2;35;auto - ciclista;comprometida;nan;[('nan', 'PROPN')]
3;3;100;auto - ciclista;discutida;asegurado circulando san martin semaforo impacta bicileta parte lateral izquierda delantera bicileta circulando pasa semaforo impactada asegurado ocupante bicileta cae piso golpe codo intervencion policial trasladada hospital municipal marcos paz momento asegurado sabe lesiones afectado bicileta;[('asegurar', 'ADJ'), ('circular', 'VERB'), ('santo', 'PROPN'), ('martin', 'PROPN'), ('semaforo', 'PROPN'), ('impactar', 'ADJ'), ('bicileta', 'NOUN'), ('partir', 'NOUN'), ('lateral', 'ADJ'), ('izquierdo', 'ADJ'), ('delantero', 'ADJ'), ('bicileta', 'NOUN'), ('circular', 'VERB'), ('paso', 'VERB'), ('semaforo', 'NOUN'), ('impactar', 'ADJ'), ('asegurar', 'ADJ'), ('ocupante', 'ADJ'), ('bicileta', 'NOUN'), ('caer', 'VERB'), ('pisar', 'NOUN'), ('golpe', 'NOUN'), ('codo', 'PROPN'), ('intervencion', 'PROPN'), ('policial', 'ADJ'), ('trasladar', 'ADJ'), ('hospital', 'PROPN'), ('municipal', 'ADJ'), ('marco', 'PROPN'), ('paz', 'PROPN'), ('momento', 'NOUN'), ('asegurar', 'ADJ'), ('saber', 'VERB'), ('lesionar', 'NOUN'), ('afectar', 'ADJ'), ('bicileta', 'NOUN')]
4;4;188;auto - ciclista;comprometida;mecanica hecho s vs asegurado vhl asegurado estacionado izquierdavhl tercerobicicleta circulando misma asegurado indica bicicleta pasando vhl detenidos semaforoabre puerta delantera derechasu esposa colisiona bicicletaes persona conduce bicicletalleva cascocae pavimentoraspado codo dolor derechano levanta ;[('mecanica', 'ADJ'), ('hacer', 'ADJ'), ('segundo', 'CCONJ'), ('vs', 'PROPN'), ('asegurar', 'ADJ'), ('vhl', 'PROPN'), ('asegurar', 'ADJ'), ('estacionar', 'ADJ'), ('izquierdavhl', 'ADJ'), ('tercerobicicleta', 'NOUN'), ('circular', 'VERB'), ('mismo', 'DET'), ('asegurar', 'ADJ'), ('indicar', 'VERB'), ('bicicleta', 'NOUN'), ('pasar', 'VERB'), ('vhl', 'ADP'), ('detenido', 'NOUN'), ('semaforoabre', 'DET'), ('puerta', 'NOUN'), ('delantero', 'ADJ'), ('derechasu', 'NOUN'), ('esposo', 'ADJ'), ('colisionar', 'ADJ'), ('bicicletaes', 'PROPN'), ('personar', 'NOUN'), ('conducir', 'VERB'), ('bicicletalleva', 'PROPN'), ('cascocae', 'PROPN'), ('pavimentoraspado', 'ADJ'), ('codo', 'ADJ'), ('dolor', 'NOUN'), ('derechano', 'ADJ'), ('levantar', 'VERB')]
5;5;189;auto - ciclista;comprometida;asegurado detenido balizas mayo bajar acompanante colisionado puerta delanetra derecha bicicleta circulaba detrasun ocupante cae solo bicicleta ocupante lastimo cara desplazamientos ;[('asegurar', 'ADJ'), ('detener', 'ADJ'), ('balizar', 'PROPN'), ('mayar', 'NOUN'), ('bajar', 'VERB'), ('acompanante', 'ADJ'), ('colisionar', 'ADJ'), ('puerta', 'NOUN'), ('delanetra', 'DET'), ('derecho', 'ADJ'), ('bicicleta', 'NOUN'), ('circular', 'AUX'), ('detrasun', 'NOUN'), ('ocupante', 'ADJ'), ('caer', 'VERB'), ('solo', 'ADJ'), ('bicicleta', 'NOUN'), ('ocupante', 'ADJ'), ('lastimar', 'ADJ'), ('caro', 'INTJ'), ('desplazamiento', 'NOUN')]
6;6;251;auto - ciclista;comprometida;da alrededor pm asegurado conduca azcuenaga direccin querer doblar derecha encierra bicicleta circulaba azcuenaga misma direccin tercero cae bicicleta asegurado ofrece asistencia revisado mismo rechaza atencin pasan datos vehculo retira lugard;[('dar', 'VERB'), ('alrededor', 'ADV'), ('pm', 'ADP'), ('asegurar', 'PROPN'), ('conduca', 'PROPN'), ('azcuenaga', 'ADJ'), ('direccin', 'AUX'), ('querer', 'VERB'), ('doblar', 'VERB'), ('derecho', 'NOUN'), ('encerrar', 'PROPN'), ('bicicleta', 'NOUN'), ('circular', 'AUX'), ('azcuenaga', 'ADJ'), ('mismo', 'DET'), ('direccin', 'NOUN'), ('3', 'ADJ'), ('caer', 'VERB'), ('bicicleta', 'NOUN'), ('asegurar', 'ADJ'), ('ofrecer', 'VERB'), ('asistencia', 'NOUN'), ('revisar', 'ADJ'), ('mismo', 'ADV'), ('rechazar', 'VERB'), ('atencin', 'ADV'), ('pasar', 'AUX'), ('dato', 'NOUN'), ('vehculo', 'ADJ'), ('retirar', 'PROPN'), ('lugard', 'PROPN')]
7;7;294;auto - ciclista;comprometida;circulaba ruta direccin gral hornos bicicleta venia delante mio voy pasando trato esquivar colisiona lateral derecho golpea parabrisas;[('circular', 'AUX'), ('ruta', 'ADJ'), ('direccin', 'NOUN'), ('gral', 'ADJ'), ('horno', 'PROPN'), ('bicicleta', 'NOUN'), ('venia', 'PROPN'), ('delante', 'ADV'), ('mio', 'PROPN'), ('ir', 'AUX'), ('pasar', 'VERB'), ('tratar', 'NOUN'), ('esquivar', 'VERB'), ('colisionar', 'VERB'), ('lateral', 'ADJ'), ('derecho', 'ADJ'), ('golpear', 'PROPN'), ('parabrisas', 'NOUN')]
8;8;344;auto - ciclista;comprometida;aseg encontraba circulando gral jose g artigas girar dr juan bautista justo ingresar estacion servicio bicicleta venia ultima impacta auto aseg presenta danos parte delantera derecha conductora bicicleta cae capot aseg traslada centro medico golpe intervencion;[('aseg', 'PROPN'), ('encontrar', 'AUX'), ('circular', 'VERB'), ('gral', 'ADJ'), ('jose', 'PROPN'), ('gramo', 'PROPN'), ('artigar', 'PROPN'), ('girar', 'PROPN'), ('dr', 'PROPN'), ('juan', 'PROPN'), ('bautista', 'PROPN'), ('justar', 'ADV'), ('ingresar', 'PROPN'), ('estacion', 'PROPN'), ('servicio', 'PROPN'), ('bicicleta', 'PROPN'), ('venia', 'PROPN'), ('ultimar', 'PROPN'), ('impactar', 'ADJ'), ('auto', 'NOUN'), ('aseg', 'PROPN'), ('presentar', 'VERB'), ('danos', 'ADJ'), ('partir', 'NOUN'), ('delantero', 'ADJ'), ('derecho', 'ADJ'), ('conductor', 'ADJ'), ('bicicleta', 'NOUN'), ('caer', 'VERB'), ('capot', 'PROPN'), ('aseg', 'PROPN'), ('trasladar', 'VERB'), ('centrar', 'NOUN'), ('medicar', 'ADJ'), ('golpe', 'PROPN'), ('intervencion', 'PROPN')]
9;9;380;auto - ciclista;comprometida;aseg estacionado abrir puerta bicicleta circulaba alli desplazamientos lesionados bici persona levanta retira medios ;[('aseg', 'PROPN'), ('estacionar', 'ADJ'), ('abrir', 'VERB'), ('puerta', 'DET'), ('bicicleta', 'NOUN'), ('circular', 'AUX'), ('alli', 'ADJ'), ('desplazamiento', 'NOUN'), ('lesionar', 'ADJ'), ('bici', 'PROPN'), ('personar', 'NOUN'), ('levantar', 'ADJ'), ('retirar', 'PROPN'), ('medio', 'NOUN')]
