;Unnamed: 0;Idenx original;tipo_de_accidente;responsabilidad;descripcion_del_hecho - Final;Spacy Lemma-Pos
0;0;0;auto - moto;comprometida;mecanica hecho s vs asegurado asegurado circulaba alsina colisiona parte delantera moto sobrepasarla izquierda ubicarse delante fren golpe transito moto iba sola persona recuerda llevaba moto ocupante caen piso presentaba lesiones visibles ;[('mecanica', 'ADJ'), ('hacer', 'ADJ'), ('segundo', 'CCONJ'), ('vs', 'PROPN'), ('asegurar', 'ADJ'), ('asegurar', 'ADJ'), ('circular', 'AUX'), ('alsina', 'ADJ'), ('colisionar', 'ADJ'), ('partir', 'NOUN'), ('delantero', 'ADJ'), ('moto', 'NOUN'), ('sobrepasarla', 'VERB'), ('izquierdo', 'ADJ'), ('ubicarse', 'VERB'), ('delante', 'ADV'), ('fren', 'AUX'), ('golpe', 'NOUN'), ('transitar', 'ADJ'), ('moto', 'PROPN'), ('ir', 'AUX'), ('solo', 'ADJ'), ('personar', 'NOUN'), ('recordar', 'VERB'), ('llevar', 'AUX'), ('moto', 'NOUN'), ('ocupante', 'ADJ'), ('caer', 'AUX'), ('pisar', 'NOUN'), ('presentar', 'AUX'), ('lesionar', 'NOUN'), ('visible', 'ADJ')]
1;1;2;auto - moto;comprometida;aseg circulando maipu ingresar garage colisionada parte lateral izquierda moto circulaba detras intentaba sobrepasarla motociclista acompanante caen piso levantan solos ;[('aseg', 'PROPN'), ('circular', 'VERB'), ('maipu', 'ADV'), ('ingresar', 'VERB'), ('garage', 'PROPN'), ('colisionar', 'ADJ'), ('partir', 'NOUN'), ('lateral', 'ADJ'), ('izquierdo', 'ADJ'), ('moto', 'PROPN'), ('circular', 'AUX'), ('detras', 'NOUN'), ('intentar', 'AUX'), ('sobrepasarla', 'VERB'), ('motociclista', 'ADJ'), ('acompanante', 'ADJ'), ('caer', 'AUX'), ('pisar', 'NOUN'), ('levantar', 'AUX'), ('solo', 'ADJ')]
2;2;3;auto - moto;comprometida;asegurado estacionado boticelli descender impactado puerta delantera izquierda tercero moto circulaba misma moto desplaza colisiona tercero circulaba colectora moto sola persona ;[('asegurar', 'ADJ'), ('estacionar', 'ADJ'), ('boticelli', 'NOUN'), ('descender', 'VERB'), ('impactar', 'ADJ'), ('puerta', 'PROPN'), ('delantero', 'NOUN'), ('izquierdo', 'ADJ'), ('3', 'ADJ'), ('moto', 'NOUN'), ('circular', 'AUX'), ('mismo', 'DET'), ('moto', 'NOUN'), ('desplazar', 'PROPN'), ('colisionar', 'PROPN'), ('3', 'ADJ'), ('circular', 'AUX'), ('colector', 'ADJ'), ('moto', 'PROPN'), ('solo', 'ADJ'), ('personar', 'NOUN')]
3;3;4;auto - moto;comprometida;circulando independencia llegar boedo guino colocado girar izquierda dicha dejo pasar auto color plateado termina pasar vehiculo aparece moto termina dando roce parte delantera izquierda moto dicha moto venia unicamente colocado cae piso manifiesta dolores concurre revisan lugar trasladan concurre zona toma datos denuncia secuestro unidades;[('circular', 'VERB'), ('independencia', 'VERB'), ('llegar', 'VERB'), ('boedo', 'PROPN'), ('guino', 'ADJ'), ('colocar', 'ADJ'), ('girar', 'VERB'), ('izquierdo', 'NOUN'), ('decir', 'ADJ'), ('dejar', 'AUX'), ('pasar', 'VERB'), ('auto', 'ADJ'), ('color', 'NOUN'), ('platear', 'ADJ'), ('terminar', 'AUX'), ('pasar', 'VERB'), ('vehicular', 'NOUN'), ('aparecer', 'VERB'), ('moto', 'PROPN'), ('terminar', 'AUX'), ('dar', 'VERB'), ('rozar', 'PROPN'), ('partir', 'NOUN'), ('delantero', 'ADJ'), ('izquierdo', 'ADJ'), ('moto', 'PROPN'), ('decir', 'ADJ'), ('moto', 'NOUN'), ('venia', 'PROPN'), ('unicamente', 'ADV'), ('colocar', 'ADJ'), ('caer', 'VERB'), ('pisar', 'NOUN'), ('manifiesto', 'ADJ'), ('dolor', 'NOUN'), ('concurrir', 'VERB'), ('revisar', 'AUX'), ('lugar', 'NOUN'), ('trasladar', 'AUX'), ('concurrir', 'PROPN'), ('zona', 'NOUN'), ('tomar', 'VERB'), ('dato', 'NOUN'), ('denunciar', 'VERB'), ('secuestrar', 'NOUN'), ('unidad', 'NOUN')]
4;4;5;auto - moto;comprometida;asegurado estacionado asegurado abre puerta colisionado tercero moto persona cae pavimento tercero retira propios mediosel asegurado confirmo mecanica denunciada trata tema leve ;[('asegurar', 'ADJ'), ('estacionar', 'ADJ'), ('asegurar', 'ADJ'), ('abrir', 'VERB'), ('puerta', 'NOUN'), ('colisionar', 'ADJ'), ('3', 'ADJ'), ('moto', 'NOUN'), ('personar', 'NOUN'), ('caer', 'VERB'), ('pavimentar', 'NOUN'), ('3', 'ADJ'), ('retirar', 'VERB'), ('propio', 'DET'), ('mediosel', 'PROPN'), ('asegurar', 'ADJ'), ('confirmar', 'PROPN'), ('mecanica', 'ADJ'), ('denunciar', 'ADJ'), ('tratar', 'VERB'), ('temer', 'NOUN'), ('levar', 'ADJ')]
5;5;6;auto - moto;comprometida;asegurada circulando maipu capital derecha intentar estacionar colisiona tercero circulando parte trasera pinchando rueda trasera derecha desp;[('asegurar', 'ADJ'), ('circular', 'VERB'), ('maipu', 'ADV'), ('capital', 'ADJ'), ('derecho', 'ADJ'), ('intentar', 'VERB'), ('estacionar', 'VERB'), ('colisionar', 'NOUN'), ('3', 'ADJ'), ('circular', 'VERB'), ('partir', 'NOUN'), ('trasero', 'ADJ'), ('pinchar', 'VERB'), ('rodar', 'NOUN'), ('trasero', 'ADJ'), ('derecho', 'NOUN'), ('desp', 'ADJ')]
6;6;9;auto - moto;comprometida;circulaba irigoin oeste tercero venia adelante fren golpe venia atras pude evitar colision s eproducjo impactod mecanica hecho s tercero circulando irigoin detuvo momento leve parte trasera moto golpe esposa giselle certificados medicos hicieron atender dirigiendo domicilio hijos encontraban compania adulto querian llegar rapido casa danos moto parte trasera triunfo seguros;[('circular', 'AUX'), ('irigoin', 'PROPN'), ('oeste', 'ADJ'), ('3', 'ADJ'), ('venia', 'PROPN'), ('adelantar', 'ADV'), ('fren', 'AUX'), ('golpe', 'PROPN'), ('venia', 'PROPN'), ('atras', 'ADJ'), ('poder', 'VERB'), ('evitar', 'VERB'), ('colision', 'PROPN'), ('segundo', 'PROPN'), ('eproducjo', 'PROPN'), ('impactod', 'PROPN'), ('mecanica', 'PROPN'), ('hacer', 'ADJ'), ('segundo', 'CCONJ'), ('3', 'ADJ'), ('circular', 'NOUN'), ('irigoin', 'PROPN'), ('detener', 'VERB'), ('momento', 'NOUN'), ('levar', 'ADJ'), ('partir', 'NOUN'), ('trasero', 'ADJ'), ('moto', 'PROPN'), ('golpe', 'PROPN'), ('esposo', 'PROPN'), ('giselle', 'PROPN'), ('certificar', 'ADJ'), ('medicos', 'ADJ'), ('hacer', 'VERB'), ('atender', 'VERB'), ('dirigir', 'VERB'), ('domiciliar', 'NOUN'), ('hijo', 'NOUN'), ('encontrar', 'AUX'), ('compania', 'PROPN'), ('adulto', 'ADJ'), ('querian', 'AUX'), ('llegar', 'VERB'), ('rapido', 'PROPN'), ('casar', 'PROPN'), ('danos', 'ADJ'), ('moto', 'PROPN'), ('partir', 'NOUN'), ('trasero', 'ADJ'), ('triunfar', 'NOUN'), ('seguro', 'ADJ')]
7;7;10;auto - moto;comprometida;lunes aproximadamente hs circulando bartolome mitre ramos meja queriendo doblar izquierda esquina almirante brown costado izquierdo m auto moto circulaba bartolome mitre ocupada personas cuales caen piso intercambiamos datos personales seguro parte ma ocupantes;[('lunes', 'NOUN'), ('aproximadamente', 'ADV'), ('hs', 'AUX'), ('circular', 'VERB'), ('bartolome', 'PROPN'), ('mitre', 'PROPN'), ('ramo', 'PROPN'), ('meja', 'PROPN'), ('querer', 'AUX'), ('doblar', 'VERB'), ('izquierdo', 'NOUN'), ('esquinar', 'ADJ'), ('almirante', 'NOUN'), ('brown', 'PROPN'), ('costar', 'ADJ'), ('izquierdo', 'ADJ'), ('metro', 'PROPN'), ('auto', 'PROPN'), ('moto', 'PROPN'), ('circular', 'AUX'), ('bartolome', 'PROPN'), ('mitre', 'VERB'), ('ocupar', 'ADJ'), ('personar', 'NOUN'), ('cual', 'PRON'), ('caer', 'AUX'), ('pisar', 'NOUN'), ('intercambiar', 'VERB'), ('dato', 'NOUN'), ('personal', 'ADJ'), ('seguro', 'ADJ'), ('partir', 'NOUN'), ('ma', 'PRON'), ('ocupante', 'ADJ')]
8;8;12;auto - moto;comprometida;aseg circulando gaona embiste parte delantera tercero detiene forma abrupta semaforo ocuptantes caen pavimento interv retiran medios lesiones evidentes;[('aseg', 'PROPN'), ('circular', 'VERB'), ('gaona', 'PROPN'), ('embestir', 'PROPN'), ('partir', 'NOUN'), ('delantero', 'ADJ'), ('3', 'ADJ'), ('detener', 'VERB'), ('formar', 'NOUN'), ('abrupto', 'ADJ'), ('semaforo', 'PROPN'), ('ocuptantes', 'ADJ'), ('caer', 'AUX'), ('pavimentar', 'PROPN'), ('interv', 'NOUN'), ('retirar', 'VERB'), ('medio', 'NOUN'), ('lesionar', 'ADJ'), ('evidente', 'ADJ')]
9;9;13;auto - moto;comprometida;circulaba c villegas llego interseccion larrazabal doblo derecha colisiono moto venia detras cuyo advierte maniobra colisiona lateral delantero derecho unidad moto acompanante llevaban cayeron piso sufrieron lesionalguna llamamos retiraron propi medios andando moto acompanante moto fabcundo lopez dni datos tercero sergio barrionuevo yamaha ybr jpc posee;[('circular', 'AUX'), ('c', 'INTJ'), ('villegas', 'PROPN'), ('llegar', 'PROPN'), ('interseccion', 'PROPN'), ('larrazabal', 'PROPN'), ('doblar', 'PROPN'), ('derecho', 'ADJ'), ('colisionar', 'NOUN'), ('moto', 'PROPN'), ('venia', 'PROPN'), ('detras', 'NOUN'), ('cuyo', 'PRON'), ('advertir', 'NOUN'), ('maniobrar', 'NOUN'), ('colisionar', 'ADJ'), ('lateral', 'ADJ'), ('delantero', 'NOUN'), ('derecho', 'ADJ'), ('unidad', 'PROPN'), ('moto', 'PROPN'), ('acompanante', 'ADJ'), ('llevar', 'AUX'), ('caer', 'VERB'), ('pisar', 'NOUN'), ('sufrir', 'VERB'), ('lesionalguna', 'PRON'), ('llamar', 'VERB'), ('retirar', 'VERB'), ('propi', 'VERB'), ('medio', 'NOUN'), ('andar', 'VERB'), ('moto', 'NOUN'), ('acompanante', 'ADJ'), ('moto', 'PROPN'), ('fabcundo', 'VERB'), ('lopez', 'PROPN'), ('dni', 'ADJ'), ('dato', 'NOUN'), ('3', 'ADJ'), ('sergio', 'PROPN'), ('barrionuevo', 'PROPN'), ('yamaha', 'PROPN'), ('ybr', 'PROPN'), ('jpc', 'PROPN'), ('poseer', 'VERB')]
10;10;15;auto - moto;comprometida;vehiculo asegurado giraba derecha tomar lascanosiendo embestido motoa puerta trasera derecha motociclista caeno recuerda llevaba cascono ;[('vehicular', 'NOUN'), ('asegurar', 'ADJ'), ('girar', 'AUX'), ('derecho', 'ADJ'), ('tomar', 'VERB'), ('lascanosiendo', 'VERB'), ('embestir', 'ADJ'), ('motoa', 'INTJ'), ('puerta', 'PROPN'), ('trasero', 'ADJ'), ('derecho', 'NOUN'), ('motociclista', 'ADJ'), ('caeno', 'NOUN'), ('recordar', 'VERB'), ('llevar', 'AUX'), ('cascono', 'PROPN')]
11;11;17;auto - moto;comprometida;asegurado circulando san martin onda cruzaba galicia cambia semaforo tercero moto circulaba ultima embiste lateral izquierdoun ocupante cae piso ;[('asegurar', 'ADJ'), ('circular', 'VERB'), ('santo', 'PROPN'), ('martin', 'PROPN'), ('onda', 'PROPN'), ('cruzar', 'AUX'), ('galicia', 'PROPN'), ('cambiar', 'PROPN'), ('semaforo', 'PROPN'), ('3', 'ADJ'), ('moto', 'NOUN'), ('circular', 'AUX'), ('ultimar', 'ADJ'), ('embestir', 'VERB'), ('lateral', 'ADJ'), ('izquierdoun', 'PROPN'), ('ocupante', 'ADJ'), ('caer', 'VERB'), ('pisar', 'NOUN')]
12;12;18;auto - moto;discutida;aseg circulando rucci colisionado lateral trasero derecho rueda delantera tercero moto cruzo ocupantes cascos colocado caen moto moto lesiones izquierda acompanante lesion menor lesiones brazo izquierdo;[('aseg', 'PROPN'), ('circular', 'VERB'), ('rucci', 'PROPN'), ('colisionar', 'ADJ'), ('lateral', 'ADJ'), ('trasero', 'ADJ'), ('derecho', 'ADJ'), ('rodar', 'VERB'), ('delantero', 'ADJ'), ('3', 'ADJ'), ('moto', 'NOUN'), ('cruzar', 'PROPN'), ('ocupante', 'ADJ'), ('casco', 'PROPN'), ('colocar', 'ADJ'), ('caer', 'AUX'), ('moto', 'PROPN'), ('moto', 'PROPN'), ('lesionar', 'PROPN'), ('izquierdo', 'ADJ'), ('acompanante', 'ADJ'), ('lesion', 'PROPN'), ('menor', 'ADJ'), ('lesionar', 'NOUN'), ('brazo', 'NOUN'), ('izquierdo', 'ADJ')]
13;13;19;auto - moto;comprometida;encontraba circulando avda chiclana moto impacta lateral trasero izquierdo cayendo unico tripulante suelo trasladado same hospital penna lesionados ros involucrados stro mas alla declarado ;[('encontrar', 'AUX'), ('circular', 'VERB'), ('avda', 'PROPN'), ('chiclana', 'PROPN'), ('moto', 'PROPN'), ('impactar', 'ADJ'), ('lateral', 'ADJ'), ('trasero', 'ADJ'), ('izquierdo', 'ADJ'), ('caer', 'VERB'), ('unico', 'ADJ'), ('tripulante', 'ADV'), ('soler', 'NOUN'), ('trasladar', 'ADJ'), ('same', 'ADV'), ('hospital', 'PROPN'), ('penna', 'PROPN'), ('lesionar', 'ADJ'), ('ro', 'ADJ'), ('involucrar', 'ADJ'), ('stro', 'NOUN'), ('mas', 'PROPN'), ('alla', 'PROPN'), ('declarar', 'ADJ')]
