x,y,descripcion,cluster
2.0268633,-0.05678401,"['parte delantera', 'parte trasera']",7
0.64397365,-0.93612605,['parte delantera'],3
0.34808347,1.7802539,['parte trasera'],6
-1.1079118,0.029830763,"['parte delantera', 'parte trasera']",0
0.9127489,0.61689264,['parte trasera'],7
0.2527081,1.6740438,"['parte delantera', 'parte trasera']",6
1.5054377,-1.0173177,"['parte delantera', 'parte trasera']",4
0.56197494,0.29686397,['parte delantera'],1
1.3086625,-1.5567894,['parte delantera'],5
0.65725553,-0.9350858,"['parte delantera', 'parte izquierda']",3
0.74875534,-1.3164464,"['parte delantera', 'parte trasera']",3
1.8862216,-0.20903435,"['parte delantera', 'parte trasera']",4
1.4322344,0.14904487,"['parte delantera', 'parte trasera']",7
1.6968237,0.17673817,"['parte delantera', 'parte derecha']",7
1.0968151,-1.6460518,"['parte delantera', 'parte trasera']",5
0.90851784,0.44780672,"['parte delantera', 'parte trasera']",7
1.6967455,-0.227517,"['parte delantera', 'parte trasera']",4
0.8178428,0.063727334,"['parte delantera', 'parte trasera']",1
1.819976,-0.037916306,"['parte delantera', 'parte trasera']",7
1.3468848,0.23359637,"['parte delantera', 'parte trasera']",7
1.7541581,0.41043314,"['parte delantera', 'parte izquierda']",7
0.7840408,-1.7834524,"['parte delantera', 'parte trasera', 'parte izquierda']",3
0.7875117,-0.16634917,['parte delantera'],1
1.4871174,-1.2198707,"['parte delantera', 'parte trasera']",4
0.7973803,-0.033219524,['parte delantera'],1
0.97079706,-2.2821975,"['parte delantera', 'parte trasera']",5
1.7846471,-1.0846794,"['parte delantera', 'parte trasera']",4
1.5414566,-0.68095934,"['parte delantera', 'parte trasera']",4
0.8673368,0.5915996,"['parte delantera', 'parte trasera']",7
1.03219,0.5773309,"['parte trasera', 'parte izquierda']",7
0.8970119,1.8371557,['parte delantera'],6
1.2143493,-2.395088,['parte delantera'],5
1.1463654,-1.1844887,"['parte trasera', 'parte izquierda']",4
1.3760889,2.065269,"['parte delantera', 'parte izquierda']",2
1.0360993,-1.823541,"['parte delantera', 'parte trasera']",5
1.1246033,0.42409644,['parte trasera'],7
1.3184942,2.2340837,"['parte delantera', 'parte derecha']",2
0.58707196,-1.895014,"['parte derecha', 'parte izquierda']",3
0.75619334,0.059299257,['parte delantera'],1
0.7121903,-0.99504447,['parte delantera'],3
0.4340858,-1.6163255,"['parte delantera', 'parte trasera']",3
1.2665536,-1.0028565,['parte izquierda'],4
0.55478615,-0.03337191,['parte trasera'],1
-1.1119826,0.02518268,"['parte delantera', 'parte trasera']",0
0.46896476,1.9854758,['parte delantera'],6
1.5572995,-0.525498,"['parte trasera', 'parte derecha']",4
1.1505917,-0.7698158,"['parte delantera', 'parte trasera', 'parte derecha']",4
0.79095185,0.7779667,"['parte delantera', 'parte trasera']",7
0.39187735,0.24129029,['parte trasera'],1
1.0206465,-0.35785872,['parte delantera'],1
1.1567669,0.8806426,['parte trasera'],7
0.7197819,-1.5536636,"['parte delantera', 'parte trasera']",3
0.72874486,1.2134025,"['parte delantera', 'parte derecha']",6
1.376598,-0.028111458,"['parte delantera', 'parte trasera', 'parte izquierda']",7
1.0856178,-1.6785188,"['parte delantera', 'parte trasera']",5
-1.1103969,0.030661559,"['parte delantera', 'parte trasera']",0
1.1618407,1.2599621,"['parte delantera', 'parte trasera']",6
1.2947756,0.7535659,"['parte delantera', 'parte trasera']",7
1.6930935,-0.207569,"['parte delantera', 'parte derecha']",4
0.97081876,-0.05852097,"['parte delantera', 'parte derecha']",1
