,Unnamed: 0,Idenx original,tipo_de_accidente,responsabilidad,descripcion_del_hecho - Final
0,0,14,auto - ciclista,concurrente,"['aseg', 'circulando', 'monroe', 'llegar', 'interseccion', 'videla', 'da', 'paso', 'avanzar', 'colisiona', 'parte', 'delantera', 'derecha', 'rueda', 'trasera', 'tercero', 'circulaba', 'bici', 'ocupante', 'colocado', 'caeno', 'manifesto', 'lesiones', 'retiro', 'propios', 'medios', 'intervencion', 'desplazamientos', 'asegurado']"
1,1,20,auto - ciclista,comprometida,"['asegurado', 'iba', 'circulando', 'potosi', 'llegar', 'domicilio', 'maniobra', 'atras', 'colisiona', 'bicicleta', 'menor', 'anos', 'ciclista', 'cayo', 'piso', 'asegurado', 'llevo', 'centro', 'atencion', 'upa', 'lanus', 'seguridad', 'recomendaron', 'llevar', 'evita', 'sacar', 'placa']"
2,2,35,auto - ciclista,comprometida,['nan']
3,3,100,auto - ciclista,discutida,"['asegurado', 'circulando', 'san', 'martin', 'semaforo', 'impacta', 'bicileta', 'parte', 'lateral', 'izquierda', 'delantera', 'bicileta', 'circulando', 'pasa', 'semaforo', 'impactada', 'asegurado', 'ocupante', 'bicileta', 'cae', 'piso', 'golpe', 'codo', 'intervencion', 'policial', 'trasladada', 'hospital', 'municipal', 'marcos', 'paz', 'momento', 'asegurado', 'sabe', 'lesiones', 'afectado', 'bicileta']"
4,4,188,auto - ciclista,comprometida,"['mecanica', 'hecho', 's', 'vs', 'asegurado', 'vhl', 'asegurado', 'estacionado', 'izquierdavhl', 'tercerobicicleta', 'circulando', 'misma', 'asegurado', 'indica', 'bicicleta', 'pasando', 'vhl', 'detenidos', 'semaforoabre', 'puerta', 'delantera', 'derechasu', 'esposa', 'colisiona', 'bicicletaes', 'persona', 'conduce', 'bicicletalleva', 'cascocae', 'pavimentoraspado', 'codo', 'dolor', 'derechano', 'levanta']"
5,5,189,auto - ciclista,comprometida,"['asegurado', 'detenido', 'balizas', 'mayo', 'bajar', 'acompanante', 'colisionado', 'puerta', 'delanetra', 'derecha', 'bicicleta', 'circulaba', 'detrasun', 'ocupante', 'cae', 'solo', 'bicicleta', 'ocupante', 'lastimo', 'cara', 'desplazamientos']"
6,6,251,auto - ciclista,comprometida,"['da', 'alrededor', 'pm', 'asegurado', 'conduca', 'azcuenaga', 'direccin', 'querer', 'doblar', 'derecha', 'encierra', 'bicicleta', 'circulaba', 'azcuenaga', 'misma', 'direccin', 'tercero', 'cae', 'bicicleta', 'asegurado', 'ofrece', 'asistencia', 'revisado', 'mismo', 'rechaza', 'atencin', 'pasan', 'datos', 'vehculo', 'retira', 'lugard']"
7,7,294,auto - ciclista,comprometida,"['circulaba', 'ruta', 'direccin', 'gral', 'hornos', 'bicicleta', 'venia', 'delante', 'mio', 'voy', 'pasando', 'trato', 'esquivar', 'colisiona', 'lateral', 'derecho', 'golpea', 'parabrisas']"
8,8,344,auto - ciclista,comprometida,"['aseg', 'encontraba', 'circulando', 'gral', 'jose', 'g', 'artigas', 'girar', 'dr', 'juan', 'bautista', 'justo', 'ingresar', 'estacion', 'servicio', 'bicicleta', 'venia', 'ultima', 'impacta', 'auto', 'aseg', 'presenta', 'danos', 'parte', 'delantera', 'derecha', 'conductora', 'bicicleta', 'cae', 'capot', 'aseg', 'traslada', 'centro', 'medico', 'golpe', 'intervencion']"
9,9,380,auto - ciclista,comprometida,"['aseg', 'estacionado', 'abrir', 'puerta', 'bicicleta', 'circulaba', 'alli', 'desplazamientos', 'lesionados', 'bici', 'persona', 'levanta', 'retira', 'medios']"
