,Unnamed: 0,Idenx original,tipo_de_accidente,responsabilidad,descripcion_del_hecho - Final
0,0,0,auto - moto,comprometida,"['mecanica', 'hecho', 's', 'vs', 'asegurado', 'asegurado', 'circulaba', 'alsina', 'colisiona', 'parte', 'delantera', 'moto', 'sobrepasarla', 'izquierda', 'ubicarse', 'delante', 'fren', 'golpe', 'transito', 'moto', 'iba', 'sola', 'persona', 'recuerda', 'llevaba', 'moto', 'ocupante', 'caen', 'piso', 'presentaba', 'lesiones', 'visibles']"
1,1,2,auto - moto,comprometida,"['aseg', 'circulando', 'maipu', 'ingresar', 'garage', 'colisionada', 'parte', 'lateral', 'izquierda', 'moto', 'circulaba', 'detras', 'intentaba', 'sobrepasarla', 'motociclista', 'acompanante', 'caen', 'piso', 'levantan', 'solos']"
2,2,3,auto - moto,comprometida,"['asegurado', 'estacionado', 'boticelli', 'descender', 'impactado', 'puerta', 'delantera', 'izquierda', 'tercero', 'moto', 'circulaba', 'misma', 'moto', 'desplaza', 'colisiona', 'tercero', 'circulaba', 'colectora', 'moto', 'sola', 'persona']"
3,3,4,auto - moto,comprometida,"['circulando', 'independencia', 'llegar', 'boedo', 'guino', 'colocado', 'girar', 'izquierda', 'dicha', 'dejo', 'pasar', 'auto', 'color', 'plateado', 'termina', 'pasar', 'vehiculo', 'aparece', 'moto', 'termina', 'dando', 'roce', 'parte', 'delantera', 'izquierda', 'moto', 'dicha', 'moto', 'venia', 'unicamente', 'colocado', 'cae', 'piso', 'manifiesta', 'dolores', 'concurre', 'revisan', 'lugar', 'trasladan', 'concurre', 'zona', 'toma', 'datos', 'denuncia', 'secuestro', 'unidades']"
4,4,5,auto - moto,comprometida,"['asegurado', 'estacionado', 'asegurado', 'abre', 'puerta', 'colisionado', 'tercero', 'moto', 'persona', 'cae', 'pavimento', 'tercero', 'retira', 'propios', 'mediosel', 'asegurado', 'confirmo', 'mecanica', 'denunciada', 'trata', 'tema', 'leve']"
5,5,6,auto - moto,comprometida,"['asegurada', 'circulando', 'maipu', 'capital', 'derecha', 'intentar', 'estacionar', 'colisiona', 'tercero', 'circulando', 'parte', 'trasera', 'pinchando', 'rueda', 'trasera', 'derecha', 'desp']"
6,6,9,auto - moto,comprometida,"['circulaba', 'irigoin', 'oeste', 'tercero', 'venia', 'adelante', 'fren', 'golpe', 'venia', 'atras', 'pude', 'evitar', 'colision', 's', 'eproducjo', 'impactod', 'mecanica', 'hecho', 's', 'tercero', 'circulando', 'irigoin', 'detuvo', 'momento', 'leve', 'parte', 'trasera', 'moto', 'golpe', 'esposa', 'giselle', 'certificados', 'medicos', 'hicieron', 'atender', 'dirigiendo', 'domicilio', 'hijos', 'encontraban', 'compania', 'adulto', 'querian', 'llegar', 'rapido', 'casa', 'danos', 'moto', 'parte', 'trasera', 'triunfo', 'seguros']"
7,7,10,auto - moto,comprometida,"['lunes', 'aproximadamente', 'hs', 'circulando', 'bartolome', 'mitre', 'ramos', 'meja', 'queriendo', 'doblar', 'izquierda', 'esquina', 'almirante', 'brown', 'costado', 'izquierdo', 'm', 'auto', 'moto', 'circulaba', 'bartolome', 'mitre', 'ocupada', 'personas', 'cuales', 'caen', 'piso', 'intercambiamos', 'datos', 'personales', 'seguro', 'parte', 'ma', 'ocupantes']"
8,8,12,auto - moto,comprometida,"['aseg', 'circulando', 'gaona', 'embiste', 'parte', 'delantera', 'tercero', 'detiene', 'forma', 'abrupta', 'semaforo', 'ocuptantes', 'caen', 'pavimento', 'interv', 'retiran', 'medios', 'lesiones', 'evidentes']"
9,9,13,auto - moto,comprometida,"['circulaba', 'c', 'villegas', 'llego', 'interseccion', 'larrazabal', 'doblo', 'derecha', 'colisiono', 'moto', 'venia', 'detras', 'cuyo', 'advierte', 'maniobra', 'colisiona', 'lateral', 'delantero', 'derecho', 'unidad', 'moto', 'acompanante', 'llevaban', 'cayeron', 'piso', 'sufrieron', 'lesionalguna', 'llamamos', 'retiraron', 'propi', 'medios', 'andando', 'moto', 'acompanante', 'moto', 'fabcundo', 'lopez', 'dni', 'datos', 'tercero', 'sergio', 'barrionuevo', 'yamaha', 'ybr', 'jpc', 'posee']"
10,10,15,auto - moto,comprometida,"['vehiculo', 'asegurado', 'giraba', 'derecha', 'tomar', 'lascanosiendo', 'embestido', 'motoa', 'puerta', 'trasera', 'derecha', 'motociclista', 'caeno', 'recuerda', 'llevaba', 'cascono']"
11,11,17,auto - moto,comprometida,"['asegurado', 'circulando', 'san', 'martin', 'onda', 'cruzaba', 'galicia', 'cambia', 'semaforo', 'tercero', 'moto', 'circulaba', 'ultima', 'embiste', 'lateral', 'izquierdoun', 'ocupante', 'cae', 'piso']"
12,12,18,auto - moto,discutida,"['aseg', 'circulando', 'rucci', 'colisionado', 'lateral', 'trasero', 'derecho', 'rueda', 'delantera', 'tercero', 'moto', 'cruzo', 'ocupantes', 'cascos', 'colocado', 'caen', 'moto', 'moto', 'lesiones', 'izquierda', 'acompanante', 'lesion', 'menor', 'lesiones', 'brazo', 'izquierdo']"
13,13,19,auto - moto,comprometida,"['encontraba', 'circulando', 'avda', 'chiclana', 'moto', 'impacta', 'lateral', 'trasero', 'izquierdo', 'cayendo', 'unico', 'tripulante', 'suelo', 'trasladado', 'same', 'hospital', 'penna', 'lesionados', 'ros', 'involucrados', 'stro', 'mas', 'alla', 'declarado']"
14,14,21,auto - moto,discutida,"['detenido', 'semanforo', 'avda', 'castanares', 'reinicio', 'marcha', 'mientras', 'avanzo', 'tercero', 'moto', 'circulaba', 'misma', 'contrario', 'dobla', 'u', 'pasandose', 'hacia', 'contraria', 'yop', 'circulaba', 'salio', 'imprevisto', 'detras', 'colectivo', 'llegue', 'impacta', 'lateral', 'izquierdo', 'iban', 'ocupantes', 'caen', 'piso']"
15,15,22,auto - moto,discutida,"['vehiculo', 'asegurado', 'circulando', 'colon', 'momento', 'detiene', 'giro', 'fines', 'poder', 'doblar', 'izquierda', 'moto', 'circulaba', 'detras', 'colisiona', 'parte', 'trasera', 'moto', 'circulaba', 'sola', 'cae', 'piso', 'utilizaba']"
16,16,24,auto - moto,comprometida,"['asegurado', 'circulando', 'rep', 'guatemala', 'altura', 'interseccion', 'virrey', 'cisneros', 'san', 'justo', 'bs', 'as', 'tercero', 'circulaba', 'ultima', 'moto', 'ocupante', 'asegurado', 'embisti', 'frente', 'derecho', 'lateral', 'izquierdo', 'tercero', 'cae', 'pavimiento', 'pierde', 'conocimiento', 'reincorpora', 'propios', 'medios', 'desplazamientos']"
17,17,25,auto - moto,comprometida,"['circulando', 'peron', 'moto', 'circulaba', 'derecha', 'cierra', 'repentinamente', 'colisiona', 'lateral', 'derecho', 'persoana', 'moto', 'cae', 'piso', 'llevaba', 'levanta']"
18,18,26,auto - moto,comprometida,"['asegurado', 'detenido', 'pedro', 'suarez', 'ingresar', 'izquierda', 'lubricentro', 'guino', 'colisionado', 'parte', 'trasera', 'delantera', 'tercero', 'moto', 'ocupante', 'sabe', 'cayo', 'cieculaba', 'detras', 'tercero', 'raspon', 'luego', 'medios', 'moto']"
19,19,27,auto - moto,discutida,"['circulando', 'directorio', 'aparentemente', 'moto', 'muerde', 'vias', 'lateral', 'derecho', 'moto', 'cae', 'intervencion', 'same', 'policial', 'trasladado', 'hospital', 'pineyro', 'terceros', 'involucrados', 'datos', 'tercero', 'castelar', 'leonardo', 'andres', 'honda', 'eev', 'libra', 'asegurado']"
20,20,28,auto - moto,comprometida,"['redgreenlueuc', 'vehiculo', 'asegurado', 'mansilla', 'doblar', 'martinto', 'colisiona', 'lateral', 'derecho', 'motocicleta', 'circulaba', 'misma', 'moto', 'ocupante', 'cae', 'piso']"
21,21,29,auto - moto,comprometida,"['saliendo', 'domicilio', 'partcular', 'marcha', 'atras', 'miro', 'hacia', 'ambos', 'lados', 'divisar', 'ningdan', 'vehiculo', 'comienzo', 'bajar', 'vereda', 'moto', 'embiste', 'parte', 'trasera', 'frente', 'ocupante', 'cae', 'pavimento', 'levanta', 'propios', 'medios', 'intervine', 'same', 'art', 'traslada', 'inetrviene', 'desplazamientos']"
22,22,30,auto - moto,comprometida,"['asegurado', 'circulando', 'cno', 'gral', 'belgrano', 'esquivar', 'pozo', 'habia', 'misma', 'colisiona', 'tercero', 'moto', 'circulaba', 'misma', 'impactando', 'lateral', 'derecho', 'lateral', 'izquierdo', 'asegurado', 'iba', 'solo', 'ocupante', 'moto', 'llevaba', 'cae', 'levanta', 'retira', 'propios', 'medios', 'intervencion', 'policial', 'ambulancias', 'desplazamientosd', 'asegurado', 'formaliz', 'oficina', 'quilmes', 'ratific', 'mecanica', 'leve', 'intervencion', 'tercero']"
23,23,33,auto - moto,comprometida,"['circulaba', 'cabildo', 'llegar', 'echeverria', 'moto', 'intenta', 'sobrepasarme', 'derecha', 'embiste', 'parte', 'lateral', 'derecha', 'cae', 'reincorporandose', 'inmediato', 'propios', 'medios']"
24,24,34,auto - moto,comprometida,"['aseg', 'encontraba', 'circulando', 'aguero', 'poner', 'luz', 'giro', 'girar', 'hacia', 'bramante', 'iniciar', 'maniobra', 'aseg', 'roza', 'parte', 'delantera', 'tanque', 'nafta', 'moto', 'solo', 'ocupante', 'cae', 'suelo', 'producto', 'intervencion', 'dolencias', 'dedo', 'raspon', 'cadera', 'intervencion', 'muncipal', 'bonaerense']"
25,25,36,auto - moto,comprometida,"['aseg', 'maniobraba', 'salir', 'gge', 'parte', 'delantera', 'derecha', 'ro', 'moto', 'circulaba', 'alli', 'moto', 'intervencin', 'levanta', 'retira', 'medios', 'desplazamientos', 'lesionados', 'confirmamos', 'asegurado', 'cuanto', 'meccnica', 'tema', 'leve', 'sali', 'garage', 'hacia', 'adelante', 'punto', 'poste', 'vio', 'tercero', 'retiro', 'propios', 'medios', 'participacin', 'tomo', 'tercero', 'volvi', 'llamar', 'luego', 'hecho']"
26,26,37,auto - moto,comprometida,"['venia', 'circulando', 'dispongo', 'doblar', 'derecha', 'armenia', 'moto', 'venia', 'derecha', 'impacta', 'lateral', 'trasero', 'derecho', 'sel', 'moto', 'cae']"
27,27,38,auto - moto,comprometida,"['asegurado', 'ingresaba', 'domicilio', 'moto', 'transitaba', 'mas', 'atras', 'impact', 'eel', 'lateral', 'trasero', 'derecho', 'vehuclo', 'asegurado', 'motociclista', 'cay', 'suelo', 'tena', 'puesto', 'levant', 'intercambiaron', 'datos', 'retir']"
28,28,39,auto - moto,concurrente,"['circulaba', 'emilio', 'mitre', 'cruzar', 'peron', 'motociclista', 'pasa', 'impacta', 'derecha', 'momento', 'presento', 'solicito', 'presencia', 'same', 'evaluo', 'necesario', 'traslado', 'motociclista', 'hospital']"
29,29,40,auto - moto,discutida,"['circulaba', 'marzo', 'casi', 'terminando', 'cruzar', 'ate', 'brown', 'embestida', 'lat', 'izq', 'parte', 'moto', 'solo', 'ocupante', 'cae', 'pavimento', 'incorpora', 'medios', 'obseva', 'lesiones', 'motociclista', 'int']"
30,30,41,auto - moto,comprometida,"['encontraba', 'aguardo', 'cruzar', 'arranco', 'marcha', 'cruzando', 'veo', 'viene', 'moto', 'izquierda', 'freno', 'pongo', 'marcha', 'atras', 'igualmente', 'colisiona', 'parte', 'izquierdael', 'motociclista', 'cae', 'moto', 'baja', 'caminando', 'llevaba', 'intervencion', 'policial', 'tercero', 'asistido', 'lugar', 'trasladado', 'tercero', 'va', 'lugar', 'caminando', 'moto', 'luego', 'busque', 'ir', 'comisaria', 'cuarta', 'hurlingham', 'datos', 'tercero', 'fernando', 'emmanuel', 'val', 'zanella', 'rx', 'hgc', 'prof', 'seguroampliacin', 'aseguradoel', 'encontraba', 'circulando', 'williams', 'llega', 'interseccion', 'pedro', 'diaz', 'ro', 'moto', 'circulaba', 'izquierda', 'colisiona', 'guardabarro', 'delantero', 'izquierdo', 'ro', 'llevaba', 'callo', 'moto', 'solo', 'ocupante', 'moto', 'intervinieron', 'siniestro', 'realizo', 'test', 'alcoholemia', 'asegurado', 'comisaria']"
