,movimiento,impac_position,responsabilidad,quien,calle,garaje,roton\w*,autopista,avenida,cruce,cruze,esquina\w*,estacionami\w*,carril,ruta,semaforo\w*,intersec.?,tunel,peaje
1,1,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
37,1,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
71,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
123,0,8,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
129,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,0,8,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
161,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,0,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
192,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
215,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
250,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,1,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
317,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
383,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
539,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
551,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
552,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
558,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
574,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
579,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
597,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
614,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
685,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
694,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
707,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
712,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
717,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
727,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
728,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
742,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
757,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
777,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
805,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
814,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
820,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
824,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
828,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
831,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
848,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
865,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
866,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
867,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
868,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
875,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
886,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
901,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
908,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
922,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
930,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
935,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
936,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
943,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
946,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
953,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
957,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
958,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
964,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1012,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1034,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1043,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1055,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1061,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1064,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1075,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1090,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1105,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1113,0,8,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1119,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1129,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1150,1,10,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1153,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1154,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1156,1,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1159,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1160,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1187,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
